,Code,Close_ratio
240,290650,-73.84799627
241,93370,-31.00478307
242,6120,-30.18088357
243,214370,-77.37789836
244,101490,-86.87964999
245,6040,-34.44370652
246,6650,16.26956738
247,170900,-77.99308183
248,78130,-76.64028498
249,67160,6.340471833
250,112610,60.82592639
251,39200,-9.543779338
252,108230,-164.5288889
253,28150,
254,49770,-38.45225471
255,241590,-13.87239715
256,112040,-27.90236618
257,18670,-6.675323356
258,271980,-86.84496652
259,8350,-184.0980408
260,122870,-26.70909666
261,280360,-34.33356331
262,83790,-118.9206877
263,141080,7.217896657
264,25900,20.41403192
265,92190,-85.38269523
266,33640,-19.37074074
267,79550,-24.63080749
268,17810,-48.87189163
269,86520,-35.57331574
270,90460,-64.86879457
271,69260,-20.34361469
272,22100,12.44176186
273,33660,-61.83797592
274,115450,-254.9369132
275,65660,-75.86451633
276,150,29.97493711
277,108320,44.019654
278,84370,-6.278714741
279,3380,-13.36952381
280,78070,-187.1658354
281,267980,-80.68726175
282,18250,-50.7013064
283,8490,-70.29346192
284,103140,-1.004040581
285,35600,-78.80761708
286,95660,-92.4217067
287,115390,-47.37803207
288,1120,12.10632004
289,1630,-96.85870801
290,81000,-73.68369422
291,5180,-66.64765432
292,640,-34.03310346
293,88800,-25.77311051
294,178320,-31.24388546
295,230360,-27.26638261
296,108670,-15.35576504
297,52690,47.6180418
298,1440,61.57007021
299,41510,27.30675142
300,284620,-148.8575116
301,286940,-58.65257718
302,92040,-17.49193084
303,192400,-12.98036013
304,294140,-200.3243975
305,97520,-15.5221097
306,64960,5.862489306
307,1820,-55.880484
308,7390,47.44089928
309,58820,-33.01737297
310,5610,-26.54462729
311,14820,17.13790013
312,144510,9.334856631
313,174900,-163.4718535
314,243070,-40.33414169
315,39130,14.60704639
316,151910,1.859509231
317,60720,-81.30745598
318,9450,2.11916722
319,2320,-45.40346551
320,9970,-41.118586
321,192650,-18.99480433
322,214450,-1.303649733
323,3470,4.506168741
324,3800,-75.60454342
325,2350,11.32459259
326,7460,-110.5512247
327,32620,-100.2168196
328,263050,-83.31389015
329,78600,-21.4773427
330,210980,-30.50577003
331,298050,54.36050952
332,400,-43.61386872
333,12630,-15.34412813
334,36810,-52.14092113
335,1230,57.89780447
336,36420,-12.5228021
337,140,-124.4487542
338,138080,-85.80005291
339,53800,-22.56259569
340,00680K,-31.80230453
341,102710,-72.89891462
342,42000,-55.14972612
343,52260,-156.9375521
344,31390,-66.16830639
345,3540,13.74349142
346,70,9.030789341
347,298020,78.05389959
348,97230,-20.18408535
349,126560,-65.72894244
350,3620,
351,33290,-51.83596045
352,32190,-39.63564902
353,91700,-50.0692735
354,48410,36.66064493
355,6390,-21.89439586
356,85620,-9.190273451
357,48530,0.00923409
358,82640,8.680163729
359,20,-83.11371435
360,46440,-92.08357503
361,3060,-60.16865597
362,200230,-95.7240289
363,131970,-14.79302212
364,281820,-27.42631628
365,84680,-97.24410754
366,215000,8.495064835
367,26890,-27.8707802
368,68240,-25.13745086
369,138250,-63.12614815
370,45390,-71.04245114
371,79160,28.71292159
372,89980,-3.456032623
373,66575,43.64335828
374,29960,-54.84617886
375,41140,-66.13912198
376,267270,30.16054651
377,48260,53.31386951
378,34830,-27.03364721
379,245620,-70.54761529
380,4490,44.63983047
381,272290,-17.11635582
382,89590,23.32295571
383,78160,-46.65693907
384,95610,-19.80779306
385,215200,9.064387883
386,105630,23.90511853
387,5880,34.23793437
388,145720,-2.170377219
389,2390,-89.86981448
390,230240,-131.0447218
391,1510,-50.71694743
392,23890,
393,145990,-11.19700656
394,268280,21.64278157
395,206640,-34.44148711
396,27410,-12.27252141
397,166090,21.58722129
398,53030,-5.003723041
399,182400,-39.00420237
400,199800,19.32808299
401,1720,-15.40123571
402,33180,-50.52507773
403,815,-33.1968222
404,12610,-135.344744
405,131370,-38.62911915
406,2270,-30.49346175
407,15350,-2.729665588
408,319660,-6.729227417
409,1880,11.88801782
410,24720,-22.96207536
411,33270,23.80044733
412,10050,24.07393076
413,39840,-6.151922441
414,192440,-93.11850809
415,42700,59.47615625
416,72710,-80.04470352
417,353200,15.78485425
418,6060,-54.22470075
419,102940,-84.35607489
420,53210,-30.09079621
421,30520,-11.0381407
422,6730,-28.33438204
423,71320,-30.80323725
424,94800,-45.5808647
425,5500,-72.20687161
426,53580,-37.3693251
427,14830,4.665061092
428,293480,-64.70955097
429,122990,-78.99143828
430,9290,-37.44553503
431,119860,-61.84991228
432,1430,43.53379133
433,25860,-25.33019202
434,74600,19.28140041
435,5070,21.33101381
436,19680,-42.68224883
437,93050,-7.024792065
438,8730,-15.32270662
439,84110,21.23289088
440,88260,-61.5855478
441,321550,-26.70919568
442,6405,10.31211005
443,4700,-71.59487876
444,263720,-16.37682349
445,2840,41.40542891
446,97780,-58.00489195
447,249420,-61.74670302
448,96760,-94.95834572
449,61970,-5.811555556
450,3530,39.12515109
451,44340,-53.48489377
452,82920,-81.32805759
453,293940,-44.092972
454,30530,-17.91623055
455,3220,-74.80587796
456,79430,-52.12093865
457,123890,-3.163508284
458,99190,-45.65739585
459,104830,-36.88558179
460,38500,6.739403258
461,17390,15.91215481
462,214870,-81.66790394
463,229500,-139.0904176
464,226320,0.502696403
465,89030,-16.81553719
466,253840,-68.41107994
467,228760,-114.7722646
468,38540,-38.11287226
469,300720,46.00661345
470,265520,-29.41780811
471,293780,8.096636411
472,237880,-33.9972172
473,73490,-67.31745028
474,25770,-62.75912451
475,222800,23.27753188
476,66700,-114.0231091
477,298000,47.09422222
478,25540,44.30051779
479,38290,-45.37218117
480,213500,-50.4659735
481,50,-49.74500845
482,100120,-56.04961674
483,68400,10.0373844
484,17960,-11.29478743
485,140860,33.68142838
486,2210,-114.8151171
487,60150,7.053009219
488,205470,11.6370872
489,17890,-77.53616704
490,34950,-42.68527946
491,16800,-23.66725556
492,89970,5.557697119
493,11000,73.52192703
494,52020,-104.4126532
495,290510,13.73386734
496,136480,-55.48246329
497,183300,20.80044247
498,122900,-45.51282312
499,194700,-38.09304708
500,322000,-53.89259259
501,37560,22.07676141
502,272450,42.60879293
503,207760,-99.99187842
504,23900,-119.3217522
505,100130,-60.86216216
506,4430,-17.11270361
507,226950,10.37918893
508,78590,
509,34120,32.09411665
510,2240,6.829134348
511,7810,-64.85133655
512,50890,-36.30439427
513,43150,3.936104436
514,1725,-15.68082909
515,234080,-72.73510351
516,143160,-84.53221192
517,370,6.487907312
518,2620,-30.61871789
519,2960,-42.24956511
520,13120,6.410619278
521,298060,-35.9459326
522,18290,-65.35810494
523,109820,-100.6241249
524,39860,-120.7960272
525,51370,-57.65797147
526,131290,20.25010745
527,228670,-28.46877606
528,87010,-97.84938582
529,84690,-21.12046147
530,153710,-168.2897898
531,950180,-15.75750746
532,59090,-15.58347306
533,148150,-98.87884462
534,93320,-52.5630933
535,244460,-64.0161684
536,58650,-19.45392593
537,480,-39.1032001
538,2780,-28.19727211
539,60570,-50.39205866
540,267260,32.19842071
541,111710,-120.2412469
542,214610,-76.08921343
543,1520,6.287972098
544,299660,61.81723608
545,23410,-9.918396753
546,239610,-136.1821867
547,131390,-50.19692717
548,222080,23.77181535
549,65530,-108.4704391
550,60980,4.101543336
551,95720,-3.545466208
552,35810,-45.40772666
553,1130,-61.20874115
554,314130,7.64323483
555,102460,43.86760736
556,77500,-45.05680615
557,1200,-9.786241997
558,3300,-22.9096888
559,119610,-41.44061749
560,200670,-36.66705839
561,10170,-71.29423922
562,4690,-25.11752359
563,216050,-5.655491314
564,344820,51.98509745
565,36930,36.28551493
566,92730,-65.77143704
567,175250,-28.40604981
568,298040,30.18369964
569,143240,2.890467488
570,152330,
571,39560,-20.08819502
572,166480,-58.71733333
573,16580,-11.87124816
574,2310,5.333168429
575,52710,-57.9405764
576,2150,-47.73971172
577,123420,-98.71222601
578,65680,-61.37637589
579,101060,-55.5562963
580,57500,
581,00088K,-32.40712454
582,64550,15.22863756
583,308170,-99.88837093
584,137400,17.18685954
585,179900,-77.02255121
586,220630,3.167778177
587,300120,-81.5045322
588,86390,5.010965579
589,11040,-30.93601827
590,36800,-24.1715515
591,03473K,-213.8242986
592,82800,-76.97965395
593,195870,35.87178451
594,29460,-22.79365706
595,270870,-25.92214265
596,110790,-8.216363636
597,243840,-15.35954321
598,288620,-93.8417107
599,2100,-36.28575149
600,67000,13.61143414
601,78020,3.420896216
602,00104K,-16.00602436
603,232140,15.07466827
604,78520,-60.44628032
605,5390,16.60290675
606,101530,-52.14386996
607,36530,-22.36710506
608,200710,-41.05322849
609,234340,-33.39349678
610,288330,-69.13575032
611,272550,-10.18079394
612,6840,-0.888829811
613,7340,-4.458250289
614,89600,-9.234588514
615,225570,-24.63834959
616,29530,-25.01268209
617,9680,-6.819284656
