날짜,종가,오픈,고가,저가,변동 %
2020년 07월 02일,829.77,830.95,833.21,827.88,-0.10%
2020년 07월 01일,830.6,827.97,834.08,826.78,0.35%
2020년 06월 30일,827.74,823.57,829.67,820.9,0.56%
2020년 06월 29일,823.1,826.26,827.7,821.69,-0.33%
2020년 06월 26일,825.81,828.07,829.29,822.27,-0.23%
2020년 06월 25일,827.72,828.53,829.71,824.39,-0.07%
2020년 06월 24일,828.31,838.07,839.61,827.61,-1.00%
2020년 06월 23일,836.65,835.42,842.07,832.99,0.19%
2020년 06월 22일,835.1,829.18,837.83,824.58,0.87%
2020년 06월 19일,827.92,830.74,834.46,826.89,-0.33%
2020년 06월 18일,830.68,836.84,838.29,827.46,-0.70%
2020년 06월 17일,836.57,834.84,840.41,832.03,0.18%
2020년 06월 16일,835.04,836.27,842.15,829.05,-0.12%
2020년 06월 15일,836.07,823.44,837.3,819.89,1.23%
2020년 06월 12일,825.95,826.85,831.55,821.36,-0.09%
2020년 06월 11일,826.66,833.32,834.27,824.88,-0.77%
2020년 06월 10일,833.11,834.17,837.71,829.57,-0.10%
2020년 06월 09일,833.97,839.37,843.15,828.88,-0.60%
2020년 06월 08일,839.02,837.87,842.78,834.97,0.17%
2020년 06월 05일,837.57,844.64,846.91,835.86,-0.81%
2020년 06월 04일,844.42,841.5,848.67,838.61,0.38%
2020년 06월 03일,841.21,841.4,848.79,834.55,0.05%
2020년 06월 02일,840.81,831.43,842.04,829.21,1.15%
2020년 06월 01일,831.22,819.87,832.41,818.46,1.26%
2020년 05월 29일,820.91,821.67,826.46,818.33,-0.07%
2020년 05월 28일,821.52,819.85,824.07,817.42,0.22%
2020년 05월 27일,819.68,818.85,824.47,812.91,0.12%
2020년 05월 26일,818.67,812.2,822.58,810.72,0.85%
2020년 05월 25일,811.75,808.85,813.57,808.85,0.13%
2020년 05월 22일,810.73,809.65,812.91,806.79,0.16%
2020년 05월 21일,809.47,809.84,812.68,805.86,-0.02%
2020년 05월 20일,809.62,800.9,810.78,799.47,1.12%
2020년 05월 19일,800.69,799.36,805.61,797.16,0.21%
2020년 05월 18일,799.03,792.33,799.83,790.24,1.06%
2020년 05월 15일,790.65,793.23,796.91,788.76,-0.27%
2020년 05월 14일,792.78,792.35,794.3,788.02,0.08%
2020년 05월 13일,792.14,793.77,799.14,790.33,-0.17%
2020년 05월 12일,793.51,793.99,799.11,789.31,0.01%
2020년 05월 11일,793.42,796.41,800.18,790.04,-0.36%
2020년 05월 08일,796.31,792.46,797.58,790.85,0.59%
2020년 05월 07일,791.65,786.91,793.41,783.65,0.68%
2020년 05월 06일,786.27,786.23,791.9,784.9,0.03%
2020년 05월 05일,786.05,786.78,789.84,784.04,-0.07%
2020년 05월 04일,786.63,786.47,788.77,780.43,0.08%
2020년 05월 01일,786.01,790.4,790.92,784.59,-0.46%
2020년 04월 30일,789.62,794,794.65,785.08,-0.53%
2020년 04월 29일,793.8,793.08,797.94,791.2,0.15%
2020년 04월 28일,792.63,790.31,794.86,787.21,0.34%
2020년 04월 27일,789.93,785.98,794.02,784.88,0.54%
2020년 04월 24일,785.69,785.89,788.66,782.67,0.05%
2020년 04월 23일,785.32,780.41,788.91,774.97,0.69%
2020년 04월 22일,779.97,774.67,784.1,773.03,0.76%
2020년 04월 21일,774.05,773.45,781.06,771.04,0.10%
2020년 04월 20일,773.24,773.16,779.4,770.35,-0.04%
2020년 04월 17일,773.58,777.82,783.86,768.44,-0.53%
2020년 04월 16일,777.67,773.9,777.83,768.49,0.51%
2020년 04월 15일,773.75,781.09,781.59,768.61,-0.91%
2020년 04월 14일,780.82,776.03,782.84,774.51,0.71%
2020년 04월 13일,775.34,769.22,780.72,766.6,0.89%
2020년 04월 10일,768.53,767.95,770.68,765.4,0.18%
2020년 04월 09일,767.14,757.54,769.45,754.4,1.28%
2020년 04월 08일,757.42,749.74,759.02,746.46,1.07%
2020년 04월 07일,749.37,745.44,755.17,743.62,0.55%
2020년 04월 06일,745.29,743.38,750.01,740.13,0.61%
2020년 04월 03일,740.75,744.08,749.62,738.32,-0.39%
2020년 04월 02일,743.65,750.8,756.37,740.65,-0.90%
2020년 04월 01일,750.37,747.85,760.77,744.01,0.39%
2020년 03월 31일,747.43,756.12,756.88,741.52,-1.01%
2020년 03월 30일,755.08,746.13,756.67,741.28,1.04%
2020년 03월 27일,747.34,736.04,753.71,732.15,1.61%
2020년 03월 26일,735.5,734.81,740.61,720.05,0.20%
2020년 03월 25일,734.03,735.34,749.7,731.1,-0.08%
2020년 03월 24일,734.62,742.35,749.29,727.93,-0.93%
2020년 03월 23일,741.49,727.74,744.38,715.76,1.95%
2020년 03월 20일,727.33,722.55,743.62,712.51,0.72%
