날짜,종가,오픈,고가,저가,변동 %
2021년 09월 07일,0.4286,0.404,0.429,0.404,5.98%
2021년 09월 06일,0.4044,0.4044,0.4044,0.4044,-0.66%
2021년 09월 03일,0.4071,0.404,0.439,0.386,0.69%
2021년 09월 02일,0.4043,0.407,0.41,0.396,-0.66%
2021년 09월 01일,0.407,0.41,0.418,0.394,0.02%
2021년 08월 31일,0.4069,0.394,0.407,0.386,2.67%
2021년 08월 30일,0.3963,0.42,0.42,0.396,-6.29%
2021년 08월 29일,0.4229,0.4255,0.4255,0.4229,0.64%
2021년 08월 27일,0.4202,0.457,0.471,0.417,-8.63%
2021년 08월 26일,0.4599,0.454,0.47,0.447,1.19%
2021년 08월 25일,0.4545,0.449,0.463,0.439,1.79%
2021년 08월 24일,0.4465,0.436,0.449,0.436,2.46%
2021년 08월 23일,0.4358,0.449,0.457,0.436,-2.37%
2021년 08월 22일,0.4464,0.4464,0.4464,0.4464,0.00%
2021년 08월 20일,0.4464,0.433,0.449,0.425,2.48%
2021년 08월 19일,0.4356,0.43,0.438,0.407,1.87%
2021년 08월 18일,0.4276,0.425,0.457,0.42,0.00%
2021년 08월 17일,0.4276,0.42,0.433,0.399,0.64%
2021년 08월 16일,0.4249,0.43,0.43,0.404,-1.83%
2021년 08월 15일,0.4328,0.4407,0.4407,0.4328,0.60%
2021년 08월 13일,0.4302,0.456,0.459,0.428,-6.29%
2021년 08월 12일,0.4591,0.449,0.462,0.441,2.36%
2021년 08월 11일,0.4485,0.477,0.501,0.438,-0.99%
2021년 08월 10일,0.453,0.426,0.456,0.421,6.34%
2021년 08월 09일,0.426,0.405,0.429,0.388,3.25%
2021년 08월 06일,0.4126,0.378,0.418,0.378,8.49%
2021년 08월 05일,0.3803,0.346,0.386,0.343,10.91%
2021년 08월 04일,0.3429,0.319,0.362,0.29,9.31%
2021년 08월 03일,0.3137,0.324,0.332,0.308,-2.49%
2021년 08월 02일,0.3217,0.343,0.343,0.314,-6.21%
2021년 07월 30일,0.343,0.372,0.375,0.343,-7.87%
2021년 07월 29일,0.3723,0.37,0.388,0.362,1.44%
2021년 07월 28일,0.367,0.367,0.404,0.354,0.71%
2021년 07월 27일,0.3644,0.378,0.378,0.356,-3.50%
2021년 07월 26일,0.3776,0.372,0.38,0.354,0.69%
2021년 07월 25일,0.375,0.375,0.375,0.375,0.00%
2021년 07월 23일,0.375,0.383,0.386,0.364,0.00%
2021년 07월 22일,0.375,0.394,0.407,0.364,-4.04%
2021년 07월 21일,0.3908,0.367,0.391,0.351,7.24%
2021년 07월 20일,0.3644,0.393,0.396,0.336,-6.13%
2021년 07월 19일,0.3882,0.417,0.428,0.349,-7.53%
2021년 07월 18일,0.4198,0.4303,0.4303,0.4198,-3.03%
2021년 07월 16일,0.4329,0.435,0.459,0.425,-0.57%
2021년 07월 15일,0.4354,0.433,0.449,0.417,0.62%
2021년 07월 14일,0.4327,0.467,0.477,0.428,-7.32%
2021년 07월 13일,0.4669,0.422,0.483,0.417,14.97%
2021년 07월 12일,0.4061,0.398,0.42,0.382,2.09%
2021년 07월 11일,0.3978,0.3952,0.3978,0.3952,0.66%
2021년 07월 09일,0.3952,0.371,0.4,0.368,9.02%
2021년 07월 08일,0.3625,0.4,0.408,0.357,-9.37%
2021년 07월 07일,0.4,0.408,0.421,0.397,-0.62%
2021년 07월 06일,0.4025,0.44,0.451,0.397,-7.96%
2021년 07월 05일,0.4373,0.4399,0.4399,0.4373,-1.20%
2021년 07월 02일,0.4426,0.471,0.486,0.44,-5.02%
2021년 07월 01일,0.466,0.463,0.477,0.461,0.63%
2021년 06월 30일,0.4631,0.46,0.466,0.444,0.63%
2021년 06월 29일,0.4602,0.46,0.474,0.458,-0.54%
2021년 06월 28일,0.4627,0.476,0.476,0.457,-2.22%
2021년 06월 27일,0.4732,0.4732,0.4732,0.4732,-0.57%
2021년 06월 25일,0.4759,0.475,0.484,0.463,0.15%
2021년 06월 24일,0.4752,0.459,0.475,0.451,2.92%
2021년 06월 23일,0.4617,0.438,0.47,0.43,4.86%
2021년 06월 22일,0.4403,0.469,0.48,0.435,-6.70%
2021년 06월 21일,0.4719,0.485,0.504,0.467,-2.70%
2021년 06월 20일,0.485,0.4824,0.485,0.4824,3.39%
2021년 06월 18일,0.4691,0.442,0.533,0.416,8.04%
2021년 06월 17일,0.4342,0.418,0.437,0.405,4.48%
2021년 06월 16일,0.4156,0.342,0.429,0.334,23.51%
2021년 06월 15일,0.3365,0.334,0.342,0.326,0.81%
2021년 06월 14일,0.3338,0.315,0.336,0.313,6.71%
2021년 06월 13일,0.3128,0.3128,0.3128,0.3128,0.84%
2021년 06월 11일,0.3102,0.294,0.313,0.289,6.27%
2021년 06월 10일,0.2919,0.313,0.344,0.292,-7.48%
2021년 06월 09일,0.3155,0.323,0.326,0.3,3.95%
2021년 06월 08일,0.3035,0.314,0.314,0.298,-1.75%
2021년 06월 07일,0.3089,0.303,0.314,0.303,0.88%
2021년 06월 06일,0.3062,0.3062,0.3062,0.3062,0.92%
2021년 06월 04일,0.3034,0.327,0.333,0.298,-6.56%
2021년 06월 03일,0.3247,0.306,0.33,0.303,7.06%
2021년 06월 02일,0.3033,0.309,0.311,0.295,0.03%
2021년 06월 01일,0.3032,0.303,0.314,0.301,0.90%
2021년 05월 31일,0.3005,0.3032,0.3032,0.3005,2.74%
2021년 05월 28일,0.2925,0.314,0.317,0.292,-4.29%
2021년 05월 27일,0.3056,0.303,0.316,0.3,0.00%
2021년 05월 26일,0.3056,0.306,0.311,0.295,0.89%
2021년 05월 25일,0.3029,0.324,0.324,0.3,-5.73%
2021년 05월 24일,0.3213,0.332,0.332,0.321,-2.40%
2021년 05월 23일,0.3292,0.3319,0.3319,0.3292,0.00%
2021년 05월 21일,0.3292,0.329,0.337,0.324,1.70%
2021년 05월 20일,0.3237,0.35,0.353,0.324,-7.51%
2021년 05월 19일,0.35,0.331,0.358,0.316,7.30%
2021년 05월 18일,0.3262,0.337,0.337,0.326,-3.12%
2021년 05월 17일,0.3367,0.331,0.342,0.313,2.43%
2021년 05월 16일,0.3287,0.3313,0.3313,0.3287,0.00%
2021년 05월 14일,0.3287,0.342,0.342,0.323,-2.35%
2021년 05월 13일,0.3366,0.358,0.358,0.334,-5.18%
2021년 05월 12일,0.355,0.326,0.366,0.318,17.36%
2021년 05월 11일,0.3025,0.297,0.311,0.292,1.78%
2021년 05월 10일,0.2972,0.292,0.3,0.284,2.73%
2021년 05월 09일,0.2893,0.2893,0.2893,0.2893,-0.92%
2021년 05월 07일,0.292,0.313,0.319,0.268,-6.08%
2021년 05월 06일,0.3109,0.314,0.314,0.3,0.84%
2021년 05월 05일,0.3083,0.322,0.332,0.303,-3.35%
2021년 05월 04일,0.319,0.324,0.332,0.308,-0.84%
2021년 05월 03일,0.3217,0.34,0.343,0.319,-3.22%
2021년 05월 02일,0.3324,0.3324,0.3324,0.3324,0.00%
2021년 04월 30일,0.3324,0.34,0.348,0.33,-1.60%
2021년 04월 29일,0.3378,0.34,0.359,0.335,0.78%
2021년 04월 28일,0.3352,0.356,0.367,0.333,-6.66%
2021년 04월 27일,0.3591,0.343,0.362,0.343,4.63%
2021년 04월 26일,0.3432,0.335,0.351,0.333,2.36%
2021년 04월 25일,0.3353,0.3379,0.3379,0.3353,0.00%
2021년 04월 23일,0.3353,0.322,0.338,0.312,6.68%
2021년 04월 22일,0.3143,0.317,0.333,0.309,-1.66%
2021년 04월 21일,0.3196,0.322,0.328,0.312,-0.84%
2021년 04월 20일,0.3223,0.341,0.349,0.32,-5.43%
2021년 04월 19일,0.3408,0.341,0.354,0.333,-0.76%
2021년 04월 18일,0.3434,0.3434,0.3434,0.3434,-0.78%
2021년 04월 16일,0.3461,0.336,0.351,0.336,1.53%
2021년 04월 15일,0.3409,0.359,0.362,0.323,-4.43%
2021년 04월 14일,0.3567,0.349,0.367,0.349,1.51%
2021년 04월 13일,0.3514,0.375,0.391,0.349,-0.23%
2021년 04월 12일,0.3522,0.344,0.36,0.328,1.59%
2021년 04월 11일,0.3467,0.3467,0.3467,0.3467,3.18%
2021년 04월 09일,0.336,0.322,0.352,0.32,5.13%
2021년 04월 08일,0.3196,0.328,0.33,0.317,-4.02%
2021년 04월 07일,0.333,0.338,0.341,0.314,-0.77%
2021년 04월 06일,0.3356,0.357,0.362,0.333,-6.67%
2021년 04월 05일,0.3596,0.378,0.389,0.354,-4.26%
2021년 04월 04일,0.3756,0.3381,0.3783,0.3381,11.12%
2021년 04월 02일,0.338,0.336,0.389,0.336,-0.03%
2021년 04월 01일,0.3381,0.346,0.354,0.33,-2.98%
2021년 03월 31일,0.3485,0.324,0.351,0.324,6.54%
2021년 03월 30일,0.3271,0.316,0.348,0.316,2.54%
2021년 03월 29일,0.319,0.308,0.324,0.295,3.47%
2021년 03월 28일,0.3083,0.3083,0.3083,0.3083,0.00%
2021년 03월 26일,0.3083,0.292,0.311,0.282,4.54%
2021년 03월 25일,0.2949,0.303,0.308,0.29,-3.47%
2021년 03월 24일,0.3055,0.308,0.311,0.295,0.03%
2021년 03월 23일,0.3054,0.316,0.324,0.298,-4.92%
2021년 03월 22일,0.3212,0.324,0.326,0.303,-1.59%
2021년 03월 21일,0.3264,0.3291,0.3291,0.3264,-2.39%
2021년 03월 19일,0.3344,0.331,0.345,0.305,2.51%
2021년 03월 18일,0.3262,0.303,0.358,0.289,6.92%
2021년 03월 17일,0.3051,0.339,0.352,0.279,-10.05%
2021년 03월 16일,0.3392,0.334,0.345,0.326,0.80%
2021년 03월 15일,0.3365,0.344,0.35,0.331,-2.27%
2021년 03월 14일,0.3443,0.3391,0.3443,0.3391,1.53%
2021년 03월 12일,0.3391,0.318,0.352,0.315,6.60%
2021년 03월 11일,0.3181,0.326,0.331,0.3,-2.42%
2021년 03월 10일,0.326,0.336,0.355,0.323,2.64%
2021년 03월 09일,0.3176,0.342,0.347,0.318,-7.73%
2021년 03월 08일,0.3442,0.32,0.344,0.315,6.70%
2021년 03월 07일,0.3226,0.3253,0.3253,0.3226,3.43%
2021년 03월 05일,0.3119,0.314,0.336,0.293,1.93%
2021년 03월 04일,0.306,0.292,0.311,0.277,5.55%
2021년 03월 03일,0.2899,0.25,0.295,0.25,16.05%
2021년 03월 02일,0.2498,0.258,0.268,0.247,-0.99%
2021년 03월 01일,0.2523,0.268,0.284,0.25,-5.89%
2021년 02월 28일,0.2681,0.2787,0.2787,0.2681,-4.73%
2021년 02월 26일,0.2814,0.353,0.361,0.263,-20.80%
2021년 02월 25일,0.3553,0.238,0.39,0.238,48.97%
2021년 02월 24일,0.2385,0.215,0.249,0.209,11.14%
2021년 02월 23일,0.2146,0.228,0.228,0.212,-5.75%
2021년 02월 22일,0.2277,0.22,0.228,0.212,3.64%
2021년 02월 21일,0.2197,0.2197,0.2197,0.2197,2.47%
2021년 02월 19일,0.2144,0.206,0.217,0.201,3.93%
2021년 02월 18일,0.2063,0.206,0.214,0.201,-1.24%
2021년 02월 17일,0.2089,0.23,0.24,0.206,-9.09%
2021년 02월 16일,0.2298,0.206,0.232,0.198,10.11%
2021년 02월 15일,0.2087,0.2061,0.2087,0.2061,6.70%
2021년 02월 12일,0.1956,0.188,0.198,0.185,4.15%
2021년 02월 11일,0.1878,0.185,0.19,0.18,1.46%
2021년 02월 10일,0.1851,0.201,0.201,0.183,-0.80%
2021년 02월 09일,0.1866,0.189,0.189,0.184,-1.37%
2021년 02월 08일,0.1892,0.184,0.192,0.181,2.94%
2021년 02월 07일,0.1838,0.1838,0.1838,0.1838,1.49%
2021년 02월 05일,0.1811,0.186,0.194,0.176,-2.79%
2021년 02월 04일,0.1863,0.189,0.194,0.186,-1.38%
2021년 02월 03일,0.1889,0.181,0.191,0.178,6.00%
2021년 02월 02일,0.1782,0.178,0.184,0.17,3.13%
2021년 02월 01일,0.1728,0.173,0.176,0.17,0.00%
2021년 01월 31일,0.1728,0.1754,0.1754,0.1728,-1.48%
2021년 01월 29일,0.1754,0.186,0.191,0.173,-5.65%
2021년 01월 28일,0.1859,0.183,0.194,0.175,4.50%
2021년 01월 27일,0.1779,0.183,0.183,0.167,0.06%
2021년 01월 26일,0.1778,0.178,0.183,0.175,0.00%
2021년 01월 25일,0.1778,0.191,0.191,0.175,-5.58%
2021년 01월 24일,0.1883,0.1909,0.1909,0.1883,0.00%
2021년 01월 22일,0.1883,0.188,0.194,0.186,-1.26%
2021년 01월 21일,0.1907,0.199,0.204,0.188,-1.35%
2021년 01월 20일,0.1933,0.204,0.209,0.193,-3.88%
2021년 01월 19일,0.2011,0.214,0.22,0.199,-4.96%
2021년 01월 18일,0.2116,0.2116,0.2116,0.2116,2.57%
2021년 01월 15일,0.2063,0.216,0.222,0.206,-8.07%
2021년 01월 14일,0.2244,0.222,0.235,0.214,0.00%
2021년 01월 13일,0.2244,0.23,0.24,0.219,-3.36%
2021년 01월 12일,0.2322,0.237,0.25,0.232,3.52%
2021년 01월 11일,0.2243,0.222,0.227,0.211,0.04%
2021년 01월 10일,0.2242,0.2242,0.2242,0.2242,0.00%
2021년 01월 08일,0.2242,0.216,0.229,0.211,5.16%
2021년 01월 07일,0.2132,0.202,0.216,0.2,5.34%
2021년 01월 06일,0.2024,0.173,0.216,0.17,16.99%
2021년 01월 05일,0.173,0.168,0.173,0.157,6.59%
2021년 01월 04일,0.1623,0.173,0.176,0.16,-4.64%
2021년 01월 03일,0.1702,0.1702,0.1702,0.1702,1.55%
2020년 12월 31일,0.1676,0.168,0.17,0.165,0.12%
2020년 12월 30일,0.1674,0.173,0.181,0.167,-3.07%
2020년 12월 29일,0.1727,0.173,0.175,0.167,3.23%
2020년 12월 28일,0.1673,0.175,0.186,0.167,-3.07%
2020년 12월 27일,0.1726,0.1673,0.1726,0.1673,3.17%
2020년 12월 24일,0.1673,0.172,0.173,0.167,-2.96%
2020년 12월 23일,0.1724,0.17,0.18,0.164,1.59%
2020년 12월 22일,0.1697,0.18,0.18,0.167,-5.83%
2020년 12월 21일,0.1802,0.177,0.183,0.159,1.52%
2020년 12월 20일,0.1775,0.1775,0.1775,0.1775,-1.50%
2020년 12월 18일,0.1802,0.185,0.185,0.177,-2.75%
2020년 12월 17일,0.1853,0.175,0.193,0.169,4.51%
2020년 12월 16일,0.1773,0.172,0.188,0.169,1.49%
2020년 12월 15일,0.1747,0.175,0.18,0.169,0.06%
2020년 12월 14일,0.1746,0.183,0.19,0.169,-1.47%
2020년 12월 11일,0.1772,0.196,0.196,0.169,-9.36%
2020년 12월 10일,0.1955,0.211,0.211,0.193,-9.70%
2020년 12월 09일,0.2165,0.216,0.219,0.214,5.82%
2020년 12월 08일,0.2046,0.202,0.207,0.194,2.66%
2020년 12월 07일,0.1993,0.213,0.213,0.199,-7.43%
2020년 12월 04일,0.2153,0.205,0.221,0.199,6.53%
2020년 12월 03일,0.2021,0.215,0.218,0.202,-6.17%
2020년 12월 02일,0.2154,0.218,0.226,0.21,-2.45%
2020년 12월 01일,0.2208,0.192,0.226,0.186,16.83%
2020년 11월 30일,0.189,0.2,0.202,0.184,-5.36%
2020년 11월 29일,0.1997,0.197,0.1997,0.197,1.37%
2020년 11월 27일,0.197,0.205,0.205,0.194,-3.95%
2020년 11월 26일,0.2051,0.2077,0.2077,0.2051,-1.25%
2020년 11월 25일,0.2077,0.218,0.221,0.2,-4.86%
2020년 11월 24일,0.2183,0.221,0.221,0.21,-0.05%
2020년 11월 23일,0.2184,0.25,0.25,0.195,5.05%
2020년 11월 22일,0.2079,0.2079,0.2079,0.2079,0.00%
