날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 02월 11일,2.8335,2.832,2.832,2.832,0.31K,-1.01%
2019년 02월 08일,2.8625,2.861,2.861,2.861,0.01K,-0.52%
2019년 02월 07일,2.8775,2.876,2.876,2.876,0.03K,0.00%
2019년 02월 06일,2.8775,2.876,2.876,2.876,0.23K,0.47%
2019년 02월 05일,2.864,2.8625,2.8625,2.8625,0.06K,0.77%
2019년 02월 04일,2.842,2.8405,2.8405,2.8405,0.01K,0.58%
2019년 02월 01일,2.8255,2.824,2.824,2.824,0.02K,-0.35%
2019년 01월 31일,2.8355,2.834,2.834,2.834,0.01K,0.51%
2019년 01월 30일,2.821,2.8195,2.8195,2.8195,0.04K,1.42%
2019년 01월 29일,2.7815,2.78,2.78,2.78,0.01K,1.53%
2019년 01월 28일,2.7395,2.738,2.738,2.738,0.07K,-1.51%
2019년 01월 25일,2.7815,2.78,2.78,2.78,0.02K,2.60%
2019년 01월 24일,2.711,2.7095,2.7095,2.7095,0.01K,-0.37%
2019년 01월 23일,2.721,2.7195,2.7195,2.7195,0.01K,0.00%
2019년 01월 22일,2.721,2.7195,2.7195,2.7195,0.02K,1.45%
2019년 01월 21일,2.682,2.709,2.71,2.675,-,-1.00%
2019년 01월 20일,2.709,2.712,2.716,2.709,-,-2.01%
2019년 01월 18일,2.7645,2.763,2.763,2.763,0.01K,1.08%
2019년 01월 17일,2.735,2.7335,2.7335,2.7335,0.00K,0.53%
2019년 01월 16일,2.7205,2.719,2.719,2.719,0.01K,1.06%
2019년 01월 15일,2.692,2.6905,2.6905,2.6905,0.01K,-0.48%
2019년 01월 14일,2.705,2.7035,2.7035,2.7035,0.02K,-1.01%
2019년 01월 11일,2.7325,2.731,2.731,2.731,0.01K,0.94%
2019년 01월 10일,2.707,2.7055,2.7055,2.7055,0.02K,-0.68%
2019년 01월 09일,2.7255,2.724,2.724,2.724,0.05K,0.09%
2019년 01월 08일,2.723,2.7215,2.7215,2.7215,0.04K,0.93%
2019년 01월 07일,2.698,2.6965,2.6965,2.6965,0.00K,-0.42%
2019년 01월 04일,2.7095,2.708,2.708,2.708,0.05K,2.73%
2019년 01월 03일,2.6375,2.636,2.636,2.636,0.00K,-1.57%
2019년 01월 02일,2.6795,2.678,2.678,2.678,0.01K,1.04%
2019년 01월 01일,2.652,2.643,2.654,2.638,-,-0.90%
