날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 16일,"3,473.60","3,437.30","3,484.20","3,427.90",-,0.23%
2021년 09월 15일,"3,465.80","3,451.20","3,466.50","3,421.60",-,0.47%
2021년 09월 14일,"3,449.40","3,464.70","3,475.80","3,433.50",-,-0.01%
2021년 09월 13일,"3,449.70","3,450.60","3,458.10","3,405.30",-,0.97%
2021년 09월 10일,"3,416.70","3,425.40","3,468.70","3,415.20",-,0.76%
2021년 09월 09일,"3,390.80","3,381.60","3,410.10","3,379.80",-,0.39%
2021년 09월 08일,"3,377.70","3,409.50","3,411.80","3,350.30",-,-1.23%
2021년 09월 07일,"3,419.70","3,432.20","3,433.00","3,401.90",-,-0.33%
2021년 09월 03일,"3,430.90","3,405.00","3,445.40","3,401.80",-,0.57%
2021년 09월 02일,"3,411.30","3,413.40","3,420.00","3,396.90",-,0.33%
2021년 09월 01일,"3,399.90","3,431.00","3,433.00","3,398.60",-,-0.52%
2021년 08월 31일,"3,417.70","3,446.50","3,446.60","3,391.10",-,-0.83%
2021년 08월 30일,"3,446.40","3,460.80","3,477.90","3,433.90",-,0.29%
2021년 08월 27일,"3,436.40","3,373.50","3,441.80","3,373.50",-,1.96%
2021년 08월 26일,"3,370.40","3,368.40","3,385.50","3,346.80",-,-0.06%
2021년 08월 25일,"3,372.60","3,365.20","3,393.90","3,363.30",-,0.81%
2021년 08월 24일,"3,345.40","3,347.80","3,363.40","3,338.90",-,0.10%
2021년 08월 23일,"3,342.00","3,287.70","3,346.20","3,287.40",-,2.63%
2021년 08월 20일,"3,256.50","3,245.20","3,263.50","3,218.60",-,0.64%
2021년 08월 19일,"3,235.90","3,192.20","3,252.60","3,166.80",-,0.84%
2021년 08월 18일,"3,208.80","3,245.70","3,269.10","3,206.00",-,-1.47%
2021년 08월 17일,"3,256.80","3,288.00","3,288.00","3,228.90",-,-1.98%
2021년 08월 16일,"3,322.60","3,323.80","3,331.70","3,298.20",-,-0.37%
2021년 08월 13일,"3,335.00","3,308.80","3,337.60","3,305.80",-,0.67%
