날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 09월 12일,"1,544.10","1,530.40","1,558.60","1,530.40",0.41K,0.38%
2019년 09월 11일,"1,538.30","1,528.80","1,534.40","1,528.80",0.04K,0.28%
2019년 09월 10일,"1,534.00","1,531.90","1,532.60","1,524.90",0.16K,-0.74%
2019년 09월 09일,"1,545.50","1,540.10","1,546.60","1,534.10",0.24K,-0.24%
2019년 09월 06일,"1,549.20","1,551.00","1,559.90","1,539.20",0.06K,-0.62%
2019년 09월 05일,"1,558.80","1,579.50","1,584.10","1,544.90",0.10K,-2.17%
2019년 09월 04일,"1,593.30","1,582.70","1,590.70","1,572.00",0.03K,0.26%
2019년 09월 03일,"1,589.10","1,562.80","1,583.90","1,561.20",0.24K,3.51%
2019년 09월 02일,"1,535.15","1,537.95","1,540.05","1,528.15",-,-0.19%
2019년 09월 01일,"1,538.05","1,535.25","1,542.90","1,535.25",-,-1.60%
2019년 08월 30일,"1,563.10","1,564.10","1,566.90","1,555.00",0.45K,-0.43%
2019년 08월 29일,"1,569.90","1,571.90","1,578.80","1,562.00",0.25K,-0.71%
2019년 08월 28일,"1,581.20","1,572.30","1,578.00","1,571.60",0.24K,-0.21%
2019년 08월 27일,"1,584.50","1,566.20","1,579.30","1,564.60",0.17K,0.94%
2019년 08월 26일,"1,569.80","1,584.50","1,584.50","1,563.20",0.07K,-0.03%
2019년 08월 23일,"1,570.20","1,539.00","1,563.50","1,537.30",0.26K,1.89%
2019년 08월 22일,"1,541.10","1,534.30","1,538.80","1,530.50",0.25K,-0.46%
2019년 08월 21일,"1,548.20","1,532.70","1,540.60","1,532.70",0.56K,0.01%
2019년 08월 20일,"1,548.00","1,530.20","1,540.70","1,530.20",0.17K,0.26%
2019년 08월 19일,"1,544.00","1,543.90","1,543.90","1,531.00",0.35K,-0.78%
2019년 08월 16일,"1,556.20","1,557.40","1,557.70","1,541.30",0.16K,-0.48%
2019년 08월 15일,"1,563.70","1,553.00","1,561.20","1,546.00",0.29K,0.17%
2019년 08월 14일,"1,561.00","1,538.50","1,553.10","1,532.60",0.24K,0.86%
2019년 08월 13일,"1,547.70","1,556.20","1,571.70","1,523.10",0.07K,-0.15%
2019년 08월 12일,"1,550.00","1,536.00","1,550.10","1,526.40",0.16K,0.55%
2019년 08월 09일,"1,541.50","1,542.80","1,543.80","1,535.00",0.09K,-0.03%
2019년 08월 08일,"1,542.00","1,533.00","1,542.10","1,532.60",0.06K,-0.62%
2019년 08월 07일,"1,551.60","1,510.60","1,547.70","1,510.60",0.11K,2.30%
2019년 08월 06일,"1,516.70","1,507.20","1,511.10","1,498.60",0.14K,0.47%
2019년 08월 05일,"1,509.60","1,487.40","1,505.00","1,487.40",0.07K,1.16%
2019년 08월 02일,"1,492.30","1,476.20","1,476.20","1,476.20",0.08K,1.62%
2019년 08월 01일,"1,468.50","1,450.80","1,485.60","1,443.30",0.15K,-0.33%
2019년 07월 31일,"1,473.30","1,460.50","1,469.60","1,452.90",0.13K,-0.27%
2019년 07월 30일,"1,477.30","1,469.00","1,472.40","1,469.00",0.02K,0.60%
2019년 07월 29일,"1,468.50","1,461.70","1,461.70","1,461.70",1.05K,0.09%
2019년 07월 26일,"1,467.20","1,460.40","1,460.40","1,460.40",0.56K,0.41%
2019년 07월 25일,"1,461.20","1,465.10","1,468.00","1,456.10",0.81K,-0.58%
2019년 07월 24일,"1,469.70","1,467.20","1,467.20","1,467.20",0.04K,0.14%
2019년 07월 23일,"1,467.60","1,458.60","1,459.60","1,458.60",0.25K,-0.35%
2019년 07월 22일,"1,472.80","1,466.00","1,466.00","1,466.00",0.61K,0.03%
2019년 07월 19일,"1,472.30","1,483.30","1,487.40","1,461.50",0.02K,-0.12%
2019년 07월 18일,"1,474.00","1,464.40","1,488.50","1,459.40",0.02K,0.32%
2019년 07월 17일,"1,469.30","1,455.00","1,467.30","1,455.00",0.02K,0.87%
2019년 07월 16일,"1,456.60","1,453.40","1,453.40","1,453.40",0.02K,-0.12%
2019년 07월 15일,"1,458.40","1,452.30","1,452.30","1,452.30",0.99K,0.10%
2019년 07월 12일,"1,457.00","1,450.90","1,450.90","1,450.90",0.05K,0.39%
2019년 07월 11일,"1,451.40","1,461.40","1,467.20","1,461.40",0.01K,-0.36%
2019년 07월 10일,"1,456.60","1,450.50","1,450.50","1,450.50",0.07K,0.84%
2019년 07월 09일,"1,444.40","1,430.60","1,430.80","1,430.60",0.02K,0.07%
2019년 07월 08일,"1,443.40","1,436.90","1,436.90","1,436.90",0.05K,0.05%
2019년 07월 05일,"1,442.70","1,428.00","1,433.00","1,428.00",0.02K,1.35%
2019년 07월 04일,"1,423.55","1,421.25","1,426.65","1,412.85",-,-2.64%
2019년 07월 03일,"1,462.10","1,465.50","1,465.50","1,461.90",0.00K,0.91%
2019년 07월 02일,"1,448.90","1,428.60","1,428.60","1,428.60",0.07K,1.34%
2019년 07월 01일,"1,429.70","1,444.00","1,444.00","1,424.40",0.01K,-1.60%
2019년 06월 28일,"1,452.90","1,451.00","1,451.00","1,445.70",0.06K,0.16%
2019년 06월 27일,"1,450.60","1,444.50","1,444.50","1,444.50",0.06K,-0.23%
2019년 06월 26일,"1,453.90","1,441.90","1,445.40","1,440.50",0.04K,-0.24%
2019년 06월 25일,"1,457.40","1,461.30","1,473.90","1,448.70",0.09K,0.03%
2019년 06월 24일,"1,457.00","1,439.10","1,449.60","1,439.00",0.01K,1.25%
2019년 06월 21일,"1,439.00","1,444.00","1,444.00","1,419.60",0.02K,0.21%
2019년 06월 20일,"1,436.00","1,419.10","1,428.70","1,417.40",0.41K,3.22%
2019년 06월 19일,"1,391.20","1,382.10","1,382.10","1,382.10",0.09K,-0.26%
2019년 06월 18일,"1,394.80","1,379.70","1,394.50","1,379.70",0.18K,0.56%
2019년 06월 17일,"1,387.00","1,379.70","1,384.20","1,379.70",0.02K,-0.14%
2019년 06월 14일,"1,388.90","1,389.20","1,389.20","1,379.80",0.04K,0.06%
2019년 06월 13일,"1,388.10","1,378.30","1,378.70","1,378.30",0.00K,0.50%
2019년 06월 12일,"1,381.20","1,373.80","1,373.80","1,373.80",0.01K,0.35%
2019년 06월 11일,"1,376.40","1,369.00","1,369.00","1,369.00",1.01K,0.15%
2019년 06월 10일,"1,374.30","1,378.00","1,378.00","1,367.00",0.01K,-1.08%
2019년 06월 07일,"1,389.30","1,388.50","1,388.50","1,382.40",0.05K,0.25%
2019년 06월 06일,"1,385.90","1,370.00","1,370.00","1,370.00",0.09K,0.60%
2019년 06월 05일,"1,377.60","1,376.60","1,376.60","1,368.80",0.16K,0.27%
2019년 06월 04일,"1,373.90","1,366.50","1,366.50","1,366.50",0.03K,0.07%
2019년 06월 03일,"1,372.90","1,356.50","1,356.50","1,356.50",0.07K,1.13%
2019년 05월 31일,"1,357.50","1,342.90","1,347.80","1,342.90",0.22K,1.20%
2019년 05월 30일,"1,341.40","1,332.40","1,332.40","1,332.40",0.33K,1.12%
2019년 05월 29일,"1,326.50","1,327.80","1,327.80","1,327.80",0.00K,0.24%
2019년 05월 28일,"1,323.30","1,322.60","1,322.60","1,322.60",0.12K,2.98%
2019년 05월 27일,"1,284.95","1,284.25","1,286.85","1,283.25",-,0.06%
2019년 05월 26일,"1,284.15","1,284.20","1,285.15","1,283.65",-,-3.45%
2019년 05월 24일,"1,330.10","1,329.20","1,329.20","1,329.20",0.00K,-0.13%
2019년 05월 23일,"1,331.80","1,328.40","1,328.40","1,328.40",0.00K,0.79%
2019년 05월 22일,"1,321.30","1,321.30","1,321.30","1,321.30",0.02K,0.09%
