날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 03일,"3,581.73","3,602.74","3,613.95","3,569.40",61.45B,-0.43%
2021년 09월 02일,"3,597.04","3,559.90","3,597.37","3,557.68",57.27B,0.84%
2021년 09월 01일,"3,567.10","3,543.87","3,582.32","3,514.67",66.73B,0.65%
2021년 08월 31일,"3,543.94","3,519.02","3,543.94","3,496.39",52.42B,0.45%
2021년 08월 30일,"3,528.15","3,535.07","3,539.49","3,512.99",51.28B,0.17%
2021년 08월 27일,"3,522.16","3,494.42","3,530.19","3,493.38",45.53B,0.59%
2021년 08월 26일,"3,501.66","3,537.31","3,537.32","3,499.45",50.29B,-1.09%
2021년 08월 25일,"3,540.38","3,517.92","3,540.39","3,510.07",45.00B,0.74%
2021년 08월 24일,"3,514.47","3,482.27","3,522.70","3,481.14",43.02B,1.07%
2021년 08월 23일,"3,477.13","3,436.80","3,481.25","3,436.67",38.47B,1.45%
2021년 08월 20일,"3,427.33","3,442.51","3,453.15","3,394.97",39.11B,-1.10%
2021년 08월 19일,"3,465.55","3,475.30","3,480.46","3,446.01",38.24B,-0.57%
2021년 08월 18일,"3,485.29","3,442.35","3,487.44","3,437.69",38.92B,1.11%
2021년 08월 17일,"3,446.98","3,512.11","3,531.72","3,438.12",42.29B,-2.00%
2021년 08월 16일,"3,517.34","3,514.34","3,537.85","3,510.90",39.11B,0.03%
2021년 08월 13일,"3,516.30","3,514.47","3,540.08","3,500.80",37.82B,-0.24%
2021년 08월 12일,"3,524.74","3,522.72","3,538.40","3,513.45",38.11B,-0.22%
2021년 08월 11일,"3,532.62","3,527.11","3,544.09","3,524.04",38.38B,0.08%
2021년 08월 10일,"3,529.93","3,488.66","3,529.93","3,477.06",34.51B,1.01%
2021년 08월 09일,"3,494.63","3,441.75","3,502.84","3,438.70",34.99B,1.05%
2021년 08월 06일,"3,458.23","3,465.48","3,466.39","3,436.93",33.68B,-0.24%
2021년 08월 05일,"3,466.55","3,461.72","3,486.16","3,449.39",34.84B,-0.31%
2021년 08월 04일,"3,477.22","3,442.94","3,477.60","3,440.78",34.87B,0.85%
2021년 08월 03일,"3,447.99","3,446.78","3,470.66","3,435.46",40.07B,-0.47%
2021년 08월 02일,"3,464.29","3,385.69","3,464.29","3,367.64",43.29B,1.97%
2021년 07월 30일,"3,397.36","3,398.20","3,404.88","3,370.45",38.14B,-0.42%
2021년 07월 29일,"3,411.72","3,403.84","3,416.61","3,382.57",34.46B,1.49%
2021년 07월 28일,"3,361.59","3,355.82","3,385.54","3,312.72",39.58B,-0.58%
2021년 07월 27일,"3,381.18","3,467.45","3,483.87","3,380.28",46.91B,-2.49%
2021년 07월 26일,"3,467.44","3,538.01","3,538.01","3,424.74",44.29B,-2.34%
