날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 06월 08일,"3,580.11","3,598.75","3,621.52","3,563.25",30.45B,-0.54%
2021년 06월 07일,"3,599.54","3,597.14","3,600.38","3,581.90",30.37B,0.21%
2021년 06월 04일,"3,591.84","3,565.47","3,618.80","3,561.89",33.09B,0.21%
2021년 06월 03일,"3,584.21","3,595.42","3,618.51","3,584.21",35.42B,-0.36%
2021년 06월 02일,"3,597.14","3,626.33","3,629.29","3,584.60",34.86B,-0.76%
2021년 06월 01일,"3,624.71","3,608.60","3,626.07","3,581.91",35.28B,0.26%
2021년 05월 31일,"3,615.48","3,600.07","3,615.66","3,580.65",33.15B,0.41%
2021년 05월 28일,"3,600.78","3,610.77","3,622.18","3,582.36",34.92B,-0.22%
2021년 05월 27일,"3,608.85","3,585.73","3,626.36","3,579.26",30.96B,0.43%
2021년 05월 26일,"3,593.36","3,586.84","3,603.49","3,585.37",34.20B,0.34%
2021년 05월 25일,"3,581.34","3,502.54","3,584.58","3,502.44",34.12B,2.40%
2021년 05월 24일,"3,497.28","3,486.27","3,498.30","3,469.87",28.95B,0.31%
2021년 05월 21일,"3,486.56","3,510.84","3,518.38","3,479.67",28.38B,-0.58%
2021년 05월 20일,"3,506.94","3,500.88","3,517.74","3,486.07",32.60B,-0.11%
2021년 05월 19일,"3,510.96","3,521.11","3,521.11","3,503.82",27.83B,-0.51%
2021년 05월 18일,"3,529.01","3,520.65","3,529.01","3,510.86",27.13B,0.32%
2021년 05월 17일,"3,517.62","3,490.41","3,530.51","3,490.14",32.21B,0.78%
2021년 05월 14일,"3,490.38","3,436.09","3,490.64","3,422.56",33.70B,1.77%
2021년 05월 13일,"3,429.54","3,432.14","3,448.02","3,418.38",31.93B,-0.96%
2021년 05월 12일,"3,462.75","3,429.75","3,466.37","3,428.39",31.14B,0.61%
2021년 05월 11일,"3,441.85","3,406.60","3,448.10","3,384.70",35.09B,0.40%
2021년 05월 10일,"3,427.99","3,423.59","3,429.74","3,401.93",37.42B,0.27%
2021년 05월 07일,"3,418.87","3,446.41","3,457.89","3,416.78",35.38B,-0.65%
2021년 05월 06일,"3,441.28","3,446.07","3,471.24","3,426.85",31.04B,-0.16%
2021년 04월 30일,"3,446.86","3,468.30","3,469.09","3,426.90",31.27B,-0.81%
2021년 04월 29일,"3,474.90","3,458.08","3,478.23","3,447.59",27.66B,0.52%
2021년 04월 28일,"3,457.07","3,432.16","3,457.07","3,423.32",24.74B,0.42%
2021년 04월 27일,"3,442.61","3,440.09","3,443.85","3,417.26",25.30B,0.04%
2021년 04월 26일,"3,441.17","3,484.11","3,497.12","3,438.57",27.70B,-0.95%
2021년 04월 23일,"3,474.17","3,462.09","3,482.36","3,456.33",24.94B,0.26%
2021년 04월 22일,"3,465.11","3,482.83","3,485.36","3,456.32",25.11B,-0.23%
2021년 04월 21일,"3,472.93","3,456.30","3,481.25","3,450.11",25.38B,0.00%
2021년 04월 20일,"3,472.94","3,467.15","3,494.30","3,463.46",28.53B,-0.13%
2021년 04월 19일,"3,477.55","3,427.55","3,479.01","3,414.36",30.27B,1.49%
2021년 04월 16일,"3,426.62","3,407.19","3,432.63","3,394.13",25.86B,0.81%
2021년 04월 15일,"3,398.99","3,409.61","3,409.61","3,373.09",23.40B,-0.52%
2021년 04월 14일,"3,416.72","3,397.02","3,420.03","3,392.98",23.32B,0.60%
2021년 04월 13일,"3,396.47","3,411.29","3,425.39","3,387.90",27.06B,-0.48%
2021년 04월 12일,"3,412.95","3,445.97","3,456.16","3,403.90",30.96B,-1.09%
2021년 04월 09일,"3,450.68","3,475.44","3,475.45","3,442.14",28.01B,-0.92%
2021년 04월 08일,"3,482.55","3,467.49","3,495.91","3,459.32",33.18B,0.08%
2021년 04월 07일,"3,479.63","3,483.42","3,483.42","3,453.19",29.58B,-0.10%
2021년 04월 06일,"3,482.97","3,491.63","3,493.28","3,471.76",23.47B,-0.04%
2021년 04월 02일,"3,484.39","3,472.63","3,487.59","3,462.83",26.27B,0.52%
2021년 04월 01일,"3,466.33","3,444.81","3,470.03","3,438.83",27.52B,0.71%
2021년 03월 31일,"3,441.91","3,452.21","3,452.21","3,420.83",28.30B,-0.43%
2021년 03월 30일,"3,456.68","3,432.53","3,457.63","3,423.32",28.54B,0.62%
2021년 03월 29일,"3,435.30","3,429.63","3,449.83","3,409.89",28.48B,0.50%
2021년 03월 26일,"3,418.33","3,373.32","3,423.22","3,373.32",27.46B,1.63%
2021년 03월 25일,"3,363.59","3,355.07","3,382.23","3,344.97",27.07B,-0.10%
2021년 03월 24일,"3,367.06","3,394.13","3,415.29","3,362.18",31.74B,-1.30%
2021년 03월 23일,"3,411.51","3,445.34","3,445.42","3,390.05",32.64B,-0.93%
2021년 03월 22일,"3,443.44","3,406.12","3,443.66","3,404.23",31.26B,1.14%
2021년 03월 19일,"3,404.66","3,423.87","3,439.52","3,389.29",30.92B,-1.69%
2021년 03월 18일,"3,463.07","3,449.64","3,478.14","3,449.38",28.44B,0.51%
2021년 03월 17일,"3,445.55","3,435.73","3,454.06","3,410.28",28.01B,-0.03%
2021년 03월 16일,"3,446.73","3,424.65","3,448.88","3,406.17",31.67B,0.78%
2021년 03월 15일,"3,419.95","3,441.88","3,457.49","3,392.51",36.78B,-0.96%
2021년 03월 12일,"3,453.08","3,447.20","3,454.51","3,417.24",35.80B,0.47%
2021년 03월 11일,"3,436.83","3,369.90","3,436.83","3,369.90",32.21B,2.36%
2021년 03월 10일,"3,357.74","3,389.84","3,397.03","3,354.82",29.97B,-0.05%
2021년 03월 09일,"3,359.29","3,415.34","3,429.15","3,328.31",40.77B,-1.82%
2021년 03월 08일,"3,421.41","3,524.98","3,542.30","3,421.22",38.70B,-2.30%
2021년 03월 05일,"3,501.99","3,463.31","3,523.57","3,456.67",35.64B,-0.04%
2021년 03월 04일,"3,503.49","3,546.64","3,552.20","3,487.38",39.36B,-2.05%
2021년 03월 03일,"3,576.90","3,500.16","3,577.62","3,498.72",34.77B,1.95%
