행정구역별(1),행정구역별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11 p)
행정구역별(1),행정구역별(2),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),지수 (2017.11 = 100.0),잠정 증감률 (%)
도,강원,92.4,91.5,91,90.4,89.8,89.6,88.3,88.6,87.8,87.8,87.2,87.4,87.5,88.2,88.3,88.9,89,89.5,90.3,90,91.2,92.1,91.9,93.9,96.6,97.7,99.3,100.6,100.7,102.6,104.7,106.4,109.4,111.9,0.52
도,충북,90,89.6,88.8,88.1,87.4,86.5,87,86.5,86.1,85.8,85.5,85.8,86.6,87.1,87,87.1,89.3,92,92.3,92.4,92.4,93.1,93.3,94.9,96.5,98.6,100.5,101.6,103.4,105.7,107,109.7,112.6,115.1,-0.27
도,충남,93.5,93.3,92.7,92.2,92.3,91.8,91.6,91.8,91.7,92.1,91.7,92.9,93.2,93.1,93.4,93.6,93.9,94.8,95.6,96.2,96.4,96.9,98,99.7,101.4,102.3,103.8,104.9,106.2,107.4,109,111.9,114.2,116.9,0.13
도,전북,95.5,95.7,94.6,93.8,93.4,93,92.9,92.8,92.9,92.7,92.7,92.7,92.7,94.3,93.9,93.4,94.3,95,95.7,95.4,95.9,95.9,97.6,99.6,101.2,102.5,103.8,104.7,106,107.9,110,112.4,114.2,116.2,0.09
도,전남,102,102.2,102.2,101.8,102.1,102.1,101.9,101.4,102.1,101.9,101.7,101.5,102.1,102.5,102.9,103,103.7,104.1,105.6,105.8,106.8,107,107.5,107.9,108.5,109.4,110,110.3,110.4,111.1,111.2,112.7,114.6,115.6,0.07
도,경북,89.9,89.9,88.4,88.5,87.8,87.6,87.4,87.1,87.4,87.1,86.9,87.2,86.9,86.8,86,86.6,87.1,88.3,88.5,89,88.5,89.3,90.7,93.9,95,96.8,97.4,98.3,98.6,99.9,101,102.6,104.6,104.9,0.33
도,경남,89.3,88.6,88.2,87,86.8,86,85.7,85.3,85.2,84.8,85.4,86,86.4,86.2,86.1,85.8,85.9,86.7,87.3,87.2,86.9,87.4,89.7,92.6,93.8,94.3,94.9,95.4,96.4,97.1,98.4,100.3,102.2,104,0.57
도,제주,96.6,95.9,93.7,94.7,92.9,92.8,92.2,92.6,91,93.4,93.6,92.9,92,93.2,89.7,91.1,91.7,92.6,92.2,93,92.8,92.6,94,95.5,95.6,98,99.3,99.6,102.3,103.2,107.4,111.5,111.9,111.1,-0.71
광역시,소계,98.9,98.8,98.3,98.2,97.7,97.6,97.7,97.9,98.2,98.6,99.7,100.7,101.3,102.2,102.8,102.7,103.5,104.7,105.8,106.3,107,108.6,112.2,115.8,118.4,120,121.5,122.9,124.6,127.3,129.7,132.3,134.5,136.5,-0.73
지방광역시,소계,98.9,98.8,98.4,98.2,97.7,97.6,97.7,97.9,98.2,98.6,100,101.1,101.7,102.4,102.4,102.2,102.7,103.8,104.9,105.7,106.4,108.4,112.6,116.6,119,120.5,121.4,122.4,123.5,125.6,127.3,129,130.6,132.4,-0.85
지방도,소계,92.8,92.6,91.8,91.2,90.8,90.4,90.2,90,89.9,89.7,89.7,90,90.3,90.6,90.4,90.5,91.1,92.1,92.7,92.9,93,93.5,94.7,96.8,98.2,99.4,100.5,101.3,102.2,103.5,105,107.1,109.2,110.9,0.22
