날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 02월 11일,379.75,381,382,378,200.41K,-0.52%
2020년 02월 10일,381.75,383.25,383.5,379,219.02K,-0.46%
2020년 02월 07일,383.5,380.25,385,380,256.72K,1.12%
2020년 02월 06일,379.25,380.25,381.75,376,191.89K,-0.39%
2020년 02월 05일,380.75,381.5,383.25,379.5,122.10K,-0.39%
2020년 02월 04일,382.25,378.25,383.5,378.25,176.00K,0.92%
2020년 02월 03일,378.75,380.5,382,376.5,216.44K,-0.66%
2020년 01월 31일,381.25,381.5,382.75,378.75,151.81K,0.46%
2020년 01월 30일,379.5,384.5,385,378.5,160.21K,-1.24%
2020년 01월 29일,384.25,385.5,388.25,382.75,136.81K,-0.58%
2020년 01월 28일,386.5,382.5,387,378.5,243.27K,1.58%
2020년 01월 27일,380.5,384.25,384.75,377.25,264.47K,-1.74%
2020년 01월 24일,387.25,393.25,393.25,386.5,196.12K,-1.65%
2020년 01월 23일,393.75,388.5,394,387.5,256.30K,1.29%
2020년 01월 22일,388.75,387.5,391,386.75,155.60K,0.32%
2020년 01월 21일,387.5,389,389.25,384.25,182.96K,-0.45%
2020년 01월 17일,389.25,377,389.5,376.75,293.12K,3.66%
2020년 01월 16일,375.5,387.25,387.75,375.25,230.56K,-3.10%
2020년 01월 15일,387.5,388.75,390.25,386.5,141.48K,-0.39%
2020년 01월 14일,389,389.25,390.5,388.25,115.96K,-0.13%
2020년 01월 13일,389.5,386.5,389.5,385.5,139.99K,0.97%
2020년 01월 10일,385.75,383.25,386.75,376.5,226.66K,0.65%
2020년 01월 09일,383.25,383.75,387,382.25,130.94K,-0.26%
2020년 01월 08일,384.25,384,385.5,382.25,135.52K,-0.07%
2020년 01월 07일,384.5,385,385.75,383.5,93.54K,-0.06%
2020년 01월 06일,384.75,386.25,387.75,382.75,112.13K,-0.45%
2020년 01월 03일,386.5,391.5,392,385.5,125.93K,-1.28%
2020년 01월 02일,391.5,387.75,392,387.25,103.99K,1.10%
