날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 09월 23일,"15,052.20","14,960.00","15,085.40","14,932.50",788.23M,1.04%
2021년 09월 22일,"14,896.80","14,800.60","14,950.10","14,767.00",831.12M,1.02%
2021년 09월 21일,"14,746.40","14,803.40","14,847.00","14,696.50",873.64M,0.22%
2021년 09월 20일,"14,713.90","14,758.10","14,841.80","14,530.10",1.10B,-2.19%
2021년 09월 17일,"15,044.00","15,163.40","15,166.60","14,998.70",2.75B,-0.91%
2021년 09월 16일,"15,181.90","15,120.10","15,205.50","15,047.10",833.07M,0.13%
2021년 09월 15일,"15,161.50","15,071.30","15,174.40","14,984.70",987.75M,0.82%
2021년 09월 14일,"15,037.80","15,168.40","15,181.20","15,008.30",884.51M,-0.45%
2021년 09월 13일,"15,105.60","15,211.40","15,215.40","15,030.90",943.77M,-0.07%
2021년 09월 10일,"15,115.50","15,332.90","15,349.50","15,111.30",889.08M,-0.87%
2021년 09월 09일,"15,248.30","15,296.10","15,352.40","15,245.20",793.92M,-0.25%
2021년 09월 08일,"15,286.60","15,360.30","15,360.30","15,206.60",799.13M,-0.57%
2021년 09월 07일,"15,374.30","15,376.00","15,403.40","15,343.30",813.76M,0.07%
2021년 09월 03일,"15,363.50","15,313.40","15,375.60","15,283.70",713.30M,0.21%
2021년 09월 02일,"15,331.20","15,358.50","15,380.10","15,285.30",771.82M,0.14%
2021년 09월 01일,"15,309.40","15,309.00","15,379.50","15,302.10",836.30M,0.33%
2021년 08월 31일,"15,259.20","15,262.90","15,279.00","15,202.70",981.94M,-0.04%
2021년 08월 30일,"15,265.90","15,165.90","15,288.10","15,165.10",807.58M,0.90%
2021년 08월 27일,"15,129.50","14,969.80","15,144.50","14,966.50",857.20M,1.23%
2021년 08월 26일,"14,945.80","15,025.20","15,059.60","14,939.60",698.67M,-0.64%
2021년 08월 25일,"15,041.90","15,039.00","15,059.40","15,011.60",760.11M,0.15%
2021년 08월 24일,"15,019.80","14,978.10","15,034.90","14,965.50",737.23M,0.52%
2021년 08월 23일,"14,942.70","14,777.00","14,963.50","14,777.00",782.67M,1.55%
2021년 08월 20일,"14,714.70","14,571.50","14,722.20","14,571.50",828.73M,1.19%
2021년 08월 19일,"14,541.80","14,423.20","14,610.80","14,423.20",841.84M,0.11%
2021년 08월 18일,"14,525.90","14,636.20","14,697.30","14,516.30",764.92M,-0.89%
2021년 08월 17일,"14,656.20","14,670.60","14,716.90","14,550.90",797.61M,-0.93%
2021년 08월 16일,"14,793.80","14,771.50","14,794.70","14,610.00",774.04M,-0.20%
2021년 08월 13일,"14,822.90","14,825.10","14,850.60","14,797.20",774.68M,0.04%
2021년 08월 12일,"14,816.30","14,751.40","14,824.30","14,698.90",783.88M,0.35%
2021년 08월 11일,"14,765.10","14,834.40","14,842.50","14,692.40",787.41M,-0.16%
2021년 08월 10일,"14,788.10","14,887.70","14,894.60","14,754.50",781.07M,-0.49%
2021년 08월 09일,"14,860.20","14,855.80","14,883.80","14,802.70",801.12M,0.16%
2021년 08월 06일,"14,835.80","14,864.20","14,890.20","14,788.60",817.60M,-0.40%
2021년 08월 05일,"14,895.10","14,794.10","14,896.50","14,776.00",842.72M,0.78%
2021년 08월 04일,"14,780.50","14,747.20","14,812.40","14,734.10",875.56M,0.13%
2021년 08월 03일,"14,761.30","14,714.00","14,762.60","14,584.10",831.95M,0.55%
2021년 08월 02일,"14,681.10","14,758.60","14,770.40","14,665.70",752.76M,0.06%
2021년 07월 30일,"14,672.70","14,615.90","14,728.80","14,615.90",788.21M,-0.71%
2021년 07월 29일,"14,778.30","14,771.20","14,833.70","14,761.40",760.01M,0.11%
2021년 07월 28일,"14,762.60","14,715.70","14,798.90","14,645.60",839.14M,0.70%
2021년 07월 27일,"14,660.60","14,807.90","14,811.10","14,503.80",885.24M,-1.21%
2021년 07월 26일,"14,840.70","14,821.00","14,863.60","14,790.50",850.81M,0.03%
2021년 07월 23일,"14,837.00","14,753.10","14,846.10","14,698.80",758.41M,1.04%
2021년 07월 22일,"14,684.60","14,652.70","14,694.20","14,617.90",712.06M,0.36%
2021년 07월 21일,"14,632.00","14,508.70","14,633.10","14,498.70",801.83M,0.92%
2021년 07월 20일,"14,498.90","14,330.50","14,555.70","14,271.20",1.03B,1.57%
2021년 07월 19일,"14,275.00","14,236.00","14,313.60","14,178.70",916.44M,-1.06%
2021년 07월 16일,"14,427.20","14,597.50","14,623.00","14,413.30",811.42M,-0.80%
2021년 07월 15일,"14,543.10","14,635.80","14,650.40","14,451.80",832.92M,-0.70%
2021년 07월 14일,"14,645.00","14,780.90","14,790.50","14,632.90",862.70M,-0.22%
2021년 07월 13일,"14,677.70","14,715.10","14,803.70","14,660.20",805.39M,-0.38%
2021년 07월 12일,"14,733.20","14,743.90","14,761.10","14,672.60",753.86M,0.21%
2021년 07월 09일,"14,701.90","14,578.40","14,710.20","14,552.30",756.93M,0.98%
2021년 07월 08일,"14,559.80","14,409.20","14,610.10","14,371.60",920.12M,-0.72%
2021년 07월 07일,"14,665.10","14,753.40","14,755.30","14,580.80",889.86M,0.01%
2021년 07월 06일,"14,663.60","14,661.50","14,687.00","14,529.80",909.25M,0.17%
2021년 07월 02일,"14,639.30","14,583.00","14,649.10","14,555.30",724.36M,0.81%
2021년 07월 01일,"14,522.40","14,493.70","14,533.50","14,439.40",843.43M,0.13%
2021년 06월 30일,"14,504.00","14,509.90","14,526.80","14,478.10",1.08B,-0.17%
2021년 06월 29일,"14,528.30","14,509.20","14,536.00","14,471.40",908.40M,0.19%
2021년 06월 28일,"14,500.50","14,417.80","14,505.20","14,417.20",898.05M,0.98%
2021년 06월 25일,"14,360.40","14,400.80","14,409.10","14,337.70",3.12B,-0.06%
2021년 06월 24일,"14,369.70","14,357.30","14,414.50","14,333.70",807.03M,0.69%
2021년 06월 23일,"14,271.70","14,263.40","14,317.70","14,246.30",852.78M,0.13%
2021년 06월 22일,"14,253.30","14,138.30","14,269.80","14,121.00",891.23M,0.79%
2021년 06월 21일,"14,141.50","14,047.40","14,150.80","13,960.00",969.70M,0.79%
2021년 06월 18일,"14,030.40","14,096.90","14,129.20","14,009.00",2.14B,-0.92%
2021년 06월 17일,"14,161.30","13,999.10","14,196.20","13,998.90",990.64M,0.87%
2021년 06월 16일,"14,039.70","14,085.60","14,129.70","13,903.70",981.27M,-0.24%
2021년 06월 15일,"14,072.90","14,166.60","14,171.00","14,052.20",880.03M,-0.71%
2021년 06월 14일,"14,174.10","14,083.50","14,175.50","14,056.70",895.43M,0.74%
2021년 06월 11일,"14,069.40","14,030.90","14,069.40","14,006.60",824.12M,0.35%
2021년 06월 10일,"14,020.30","13,933.90","14,031.20","13,904.40",929.35M,0.78%
2021년 06월 09일,"13,911.80","13,980.20","14,003.50","13,906.50",1.09B,-0.09%
2021년 06월 08일,"13,924.90","13,946.30","13,981.70","13,832.00",1.17B,0.31%
2021년 06월 07일,"13,881.70","13,802.80","13,889.10","13,784.90",916.97M,0.49%
2021년 06월 04일,"13,814.50","13,697.20","13,826.80","13,692.00",806.24M,1.47%
2021년 06월 03일,"13,614.50","13,655.70","13,684.10","13,548.90",1.02B,-1.03%
2021년 06월 02일,"13,756.30","13,743.20","13,775.90","13,689.70",996.75M,0.14%
2021년 06월 01일,"13,736.50","13,829.10","13,836.20","13,678.80",884.81M,-0.09%
2021년 05월 28일,"13,748.70","13,792.00","13,820.90","13,747.60",911.24M,0.09%
2021년 05월 27일,"13,736.30","13,742.60","13,776.50","13,701.60",1.41B,-0.01%
2021년 05월 26일,"13,738.00","13,693.90","13,750.20","13,679.60",819.71M,0.59%
2021년 05월 25일,"13,657.20","13,721.50","13,751.10","13,631.80",823.66M,-0.03%
2021년 05월 24일,"13,661.20","13,557.20","13,708.80","13,551.00",730.82M,1.41%
2021년 05월 21일,"13,471.00","13,616.20","13,616.60","13,463.30",786.55M,-0.48%
2021년 05월 20일,"13,535.70","13,356.60","13,563.50","13,355.70",810.41M,1.77%
2021년 05월 19일,"13,299.70","13,078.20","13,304.60","13,072.20",879.28M,-0.03%
2021년 05월 18일,"13,303.60","13,416.90","13,485.30","13,299.90",852.73M,-0.56%
2021년 05월 17일,"13,379.00","13,368.80","13,399.20","13,265.40",799.86M,-0.38%
2021년 05월 14일,"13,430.00","13,255.60","13,460.90","13,243.00",854.90M,2.32%
2021년 05월 13일,"13,125.00","13,150.90","13,247.90","13,007.20",986.84M,0.72%
2021년 05월 12일,"13,031.70","13,215.50","13,288.60","13,002.50",985.26M,-2.67%
2021년 05월 11일,"13,389.40","13,115.90","13,423.30","13,107.70",983.05M,-0.09%
2021년 05월 10일,"13,401.90","13,687.60","13,687.90","13,401.70",1.02B,-2.55%
2021년 05월 07일,"13,752.20","13,723.10","13,828.60","13,690.70",873.19M,0.88%
2021년 05월 06일,"13,632.80","13,557.80","13,635.70","13,439.40",1.04B,0.37%
2021년 05월 05일,"13,582.40","13,731.10","13,753.00","13,553.90",909.08M,-0.37%
2021년 05월 04일,"13,633.50","13,774.50","13,795.60","13,485.60",1.09B,-1.88%
2021년 05월 03일,"13,895.10","14,031.80","14,042.10","13,881.50",919.69M,-0.48%
2021년 04월 30일,"13,962.70","13,970.70","14,084.80","13,941.60",1.02B,-0.85%
2021년 04월 29일,"14,082.50","14,204.50","14,211.60","13,952.80",994.15M,0.22%
2021년 04월 28일,"14,051.00","14,082.80","14,133.70","14,034.70",861.23M,-0.28%
2021년 04월 27일,"14,090.20","14,170.90","14,171.20","14,064.30",871.20M,-0.34%
2021년 04월 26일,"14,138.80","14,052.40","14,154.00","14,019.50",867.75M,0.87%
2021년 04월 23일,"14,016.80","13,861.40","14,062.70","13,856.80",843.30M,1.44%
2021년 04월 22일,"13,818.40","13,952.60","14,015.90","13,771.00",871.28M,-0.94%
2021년 04월 21일,"13,950.20","13,745.80","13,951.30","13,706.90",819.76M,1.19%
2021년 04월 20일,"13,786.30","13,894.50","13,927.70","13,698.70",875.27M,-0.92%
2021년 04월 19일,"13,914.80","13,984.60","14,041.80","13,842.60",907.06M,-0.98%
2021년 04월 16일,"14,052.30","14,059.10","14,062.50","13,977.00",962.78M,0.10%
2021년 04월 15일,"14,038.80","13,983.20","14,049.10","13,970.40",867.56M,1.31%
2021년 04월 14일,"13,857.80","14,004.10","14,033.60","13,839.00",812.85M,-0.99%
2021년 04월 13일,"13,996.10","13,902.40","14,011.50","13,902.40",839.45M,1.05%
2021년 04월 12일,"13,850.00","13,854.40","13,877.00","13,783.90",894.01M,-0.36%
2021년 04월 09일,"13,900.20","13,787.00","13,905.40","13,748.30",785.76M,0.51%
2021년 04월 08일,"13,829.30","13,796.90","13,830.10","13,758.70",870.92M,1.03%
