회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)TCC스틸,2710,2018,1.27,232.74,3.83,3.85,1.35,179.32,45.83,22342500,6661675,3558901,1984-12-21
(주)TCC스틸,2710,2019,2.93,-38.3,4.66,2.31,0.82,181.9,46.17,22342500,8350407,2195959,1984-12-21
(주)TCC스틸,2710,2020,-10.4,0,1.42,-1.1,-0.39,185.29,49.91,23000000,2270055,-1060719,1984-12-21
(주)TCC스틸,2710,2021,11.89,0,4.28,5.29,1.95,158.8,42.8,23500000,7673828,5368386,1984-12-21
(주)가비아,79940,2018,7.81,77.31,8.07,4.07,2.95,40.37,9.43,6767842,2254248,1941917,2005-10-19
(주)가비아,79940,2019,1.81,32.86,7.59,5.1,3.45,54.58,17.88,6767842,2157887,2580007,2005-10-19
(주)가비아,79940,2020,7.98,15.63,9.12,5.49,3.44,64.15,23.68,6767842,2801027,2983331,2005-10-19
(주)가비아,79940,2021,12.33,-16.81,7.47,4.19,2.58,61.27,20.9,6767842,2576854,2481892,2005-10-19
(주)강스템바이오텍,217730,2018,-81.03,0,-731.37,-24.19,-10.9,73.91,31.5,8297469,-4915357,-4832540,2015-12-21
(주)강스템바이오텍,217730,2019,-85.73,0,-9400.76,-32.11,-18.87,68.01,25.4,10422219,-9018775,-9648208,2015-12-21
(주)강스템바이오텍,217730,2020,84.87,0,-5163.13,-21.25,-15.05,24.28,8.96,12109685,-9157043,-10517074,2015-12-21
(주)강스템바이오텍,217730,2021,542.23,0,-812.35,-16.27,-12.34,42.49,12.46,12814594,-9252828,-8456806,2015-12-21
(주)강원랜드,35250,2018,-11.44,-22.62,33.88,5.48,4.7,16.64,0,106970250,242823895,185737172,2003-09-04
(주)강원랜드,35250,2019,3.28,-17.42,40.36,4.35,3.71,17.32,0.08,106970250,298687105,153390284,2003-09-04
(주)강원랜드,35250,2020,-63.49,0,-107.35,-5.87,-5,17.64,1.59,106970250,-290101034,-202417486,2003-09-04
(주)강원랜드,35250,2021,11.29,0,-19,-0.56,-0.49,13.27,1.72,106970250,-57138393,-18419439,2003-09-04
(주)갤럭시아에스엠,11420,2018,-35.56,0,-18.1,-17.94,-15.05,20.48,0,13774822,-2095450,-7102471,1989-11-14
(주)갤럭시아에스엠,11420,2019,-10.88,0,-13.14,-5,-3.88,41.96,3.63,13774822,-1355962,-1438246,1989-11-14
(주)갤럭시아에스엠,11420,2020,-20.37,0,1.01,-1.52,-1.08,39.93,10.14,13774822,82781,-311265,1989-11-14
(주)갤럭시아에스엠,11420,2021,50.73,0,7.41,3.29,2.38,36.87,3.77,13774822,917255,765137,1989-11-14
(주)게임빌,63080,2018,-39.25,0,-43.51,-5.8,-3.87,55.19,31.49,3297596,-10885408,-8430637,2009-07-30
(주)게임빌,63080,2019,39.06,0,-27.8,-5.55,-3.29,86.25,39.21,3297596,-9672357,-6328975,2009-07-30
(주)게임빌,63080,2020,-1.45,0,3.31,0.18,0.09,126.65,50.44,3297596,1134777,172663,2009-07-30
(주)게임빌,63080,2021,-10.6,815.88,9.09,1.6,0.67,149.23,55.74,3297596,2786013,1581391,2009-07-30
(주)경농,2100,2018,0.13,-34,23.49,8.39,5.34,59.74,25.16,10845875,28102677,16420920,1977-06-30
(주)경농,2100,2019,-0.12,13.29,20.57,9.39,5.74,66.98,28.46,10845875,24585521,18602789,1977-06-30
(주)경농,2100,2020,5.96,6.26,19.36,9.69,5.96,58.37,24.64,10845875,24519993,19767172,1977-06-30
(주)경농,2100,2021,6.24,5.81,20.11,9.95,6.25,59.67,25.62,10845875,27063743,20916619,1977-06-30
(주)경동나비엔,9450,2018,17.35,61.36,5.77,6.25,3.39,95.26,19.76,12739510,15885508,14084798,1993-08-31
(주)경동나비엔,9450,2019,-0.73,-44.08,5.22,3.29,1.7,92.48,15.33,12739510,14285380,7876070,1993-08-31
(주)경동나비엔,9450,2020,24.64,195.53,7.81,8.98,4.6,97.43,20.32,12739510,26615968,23276422,1993-08-31
(주)경동나비엔,9450,2021,19.75,94.53,6.65,15.2,7.92,87.11,11.73,13604730,27151932,45279186,1993-08-31
