회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)세아베스틸,1430,2020,-29.33,-20.37,0.49,1.18,0.73,62.58,30.04,219310595,3365128,19706584,1991-03-12
(주)세아베스틸,1430,2019,-7.52,-33.59,2.46,1.47,0.92,61.32,22.75,219310595,23855690,24748534,1991-03-12
(주)세아베스틸,1430,2018,7.46,-38.55,4.11,2.22,1.44,55.81,24,219310595,43097330,37264898,1991-03-12
(주)세아베스틸,1430,2021,52.43,397.85,8.06,6.18,3.74,67.51,21.83,219310595,84110599,98108613,1991-03-12
(주)세아제강,306200,2020,0,0,5.94,4.31,2.3,87.47,25.88,14181500,33835880,25450854,2018-10-05
(주)세아제강,306200,2021,19.6,60.32,7.65,6.69,3.57,87.03,26.25,14181500,52088405,40802101,2018-10-05
(주)세아제강,306200,2019,,,,,,,,14181500,36856605,28167059,2018-10-05
(주)세아제강지주,3030,2019,-99.08,-89.83,43.88,0.35,0.26,5.96,3.25,20708285,2841972,3225641,1969-05-13
(주)세아제강지주,3030,2021,-22.05,-36.68,52.67,0.87,0.82,4.65,3.09,20708285,4089385,5733058,1969-05-13
(주)세아제강지주,3030,2018,-19.69,-2.54,4.15,2.7,1.75,54.43,21.18,30000000,29186319,31725993,1969-05-13
(주)세아제강지주,3030,2020,53.81,180.7,68.55,1.38,1.28,8.23,6.03,20708285,6828079,9054289,1969-05-13
(주)세아특수강,19440,2020,-24.75,0,-0.36,-0.4,-0.29,40.13,19.26,42850000,-809180,-1232378,2011-06-01
(주)세아특수강,19440,2021,36.6,0,3.73,2.82,1.96,47.08,14.33,42850000,11424816,8724679,2011-06-01
(주)세아특수강,19440,2018,-6.01,-34.41,4.14,3.01,2.13,38.83,11.55,42850000,12148237,9171943,2011-06-01
(주)세아특수강,19440,2019,1.75,-30.74,2.91,2.04,1.51,30.23,7.38,42850000,8672197,6352801,2011-06-01
(주)세아홀딩스,58650,2019,-1.75,-4.91,78.63,3.32,2.94,13.25,9.54,20000000,32682395,31042821,2001-07-30
(주)세아홀딩스,58650,2021,-58.86,0,42.29,-4.2,-3.72,13.87,10.7,20000000,4877009,-39612284,2001-07-30
(주)세아홀딩스,58650,2020,-32.55,-39.43,72.36,1.96,1.75,11.63,9.63,20000000,20284790,18802505,2001-07-30
(주)세아홀딩스,58650,2018,12.58,5.59,80.12,3.62,3.23,12.5,9.17,20000000,33894120,32647071,2001-07-30
(주)세우글로벌,13000,2020,4.03,441.41,4.71,7.93,7.21,9.45,0,14354833,584850,3424187,1989-09-05
(주)세우글로벌,13000,2021,29.05,-60.17,5.26,3.06,2.9,1.93,0,14354833,842579,1363773,1989-09-05
(주)세우글로벌,13000,2019,-23.24,-32.51,3.65,1.57,1.29,10.52,0,14354833,435262,632456,1989-09-05
(주)세우글로벌,13000,2018,-17.29,7.11,6.02,2.47,2.02,33.31,13.6,11847670,935089,937082,1989-09-05
(주)세운메디칼,100700,2019,5.57,-12.47,27.08,6.28,5.79,8.32,0,4380000,8500087,5624142,2008-09-30
(주)세운메디칼,100700,2021,-5.64,-1.72,24.51,6.1,5.54,8.14,0.23,4380000,7395124,6327905,2008-09-30
(주)세운메디칼,100700,2020,1.87,14.48,18.65,6.73,6.1,12.28,0.31,4380000,5964668,6438503,2008-09-30
(주)세운메디칼,100700,2018,4.45,-9.87,25.62,7.76,7.09,8.65,0,4380000,7618081,6425113,2008-09-30
(주)세원,234100,2020,-0.22,125.67,4.03,5.22,3.21,55.34,23.36,2338187,1096768,1940165,2017-10-20
(주)세원,234100,2021,19.26,320.52,0.24,13.7,9.21,45.57,16.51,3182248,76786,8158724,2017-10-20
(주)세원,234100,2019,13.19,0,3.74,2.55,1.38,70.4,19.27,2238299,1018978,859746,2017-10-20
(주)세원,234100,2018,0,0,-7.22,-4.23,-2.11,100.91,23.47,2238299,-1737599,-1354410,2017-10-20
(주)세이브존아이앤씨,67830,2020,-14.97,-45.76,13.03,1.67,1.29,26.38,5.72,41040895,9018629,7476342,2002-07-25
(주)세이브존아이앤씨,67830,2021,-9.59,-8.06,12.63,1.5,1.2,23.14,4.98,41040895,7908689,6873677,2002-07-25
(주)세이브존아이앤씨,67830,2019,-6.81,-5.21,21.59,3.22,2.36,33.87,6.72,41040895,17576170,13784143,2002-07-25
(주)세이브존아이앤씨,67830,2018,-3,-9.34,21.17,3.66,2.62,39.19,8.65,41040895,18496029,14542096,2002-07-25
(주)세종메디칼,258830,2020,-12.83,-51.02,7.24,1.99,1.87,5.34,0.18,3388871,487986,899977,2018-05-29
(주)세종메디칼,258830,2021,10.97,0,6.11,-0.12,-0.11,4.39,0.13,3388871,457281,-53282,2018-05-29
(주)세종메디칼,258830,2019,0,0,25.28,4.09,3.78,8.2,2.79,3388871,1955354,1837469,2018-05-29
(주)세종메디칼,258830,2018,,,,,,,,3388871,1851321,1925611,2018-05-29
(주)세중,39310,2020,-66.26,0,-129.77,-1.87,-1.66,9.06,0.45,9060834,-1963020,-1032436,2000-06-09
(주)세중,39310,2021,-23.27,0,-29.82,1.24,1.1,16.68,0.33,9060834,-346097,693214,2000-06-09
(주)세중,39310,2019,-32.92,0,-2.59,-2.06,-1.77,15.87,0.03,9060834,-116123,-1154395,2000-06-09
(주)세중,39310,2018,-73.59,0,-23.71,-1.22,-0.92,17.76,0,9060834,-1584285,-739971,2000-06-09
(주)세진중공업,75580,2019,72.44,0,4.52,1.65,0.7,143.61,47.61,21986360,6753006,2551756,2015-11-30
(주)세진중공업,75580,2021,-21.2,0,10.02,20.47,8.11,137.33,44.98,31224728,11619016,32027719,2015-11-30
(주)세진중공업,75580,2020,-1.63,0,-2.62,-4.34,-1.69,170.4,53.34,21986360,-3856514,-6500368,2015-11-30
(주)세진중공업,75580,2018,-45.09,0,0.08,-1.68,-0.74,130.72,48.79,21986360,72193,-2601574,2015-11-30
(주)세진티에스,67770,2019,6.99,0,0.97,0.52,0.5,2.83,0.1,4198297,56067,208813,2004-01-09
(주)세진티에스,67770,2021,-5.6,9.75,15.47,4.51,4.28,5.35,0.3,4198297,1453831,1768425,2004-01-09
(주)세진티에스,67770,2020,72.36,671.62,13.89,4.15,3.99,5.24,0.16,4198297,1382953,1611248,2004-01-09
(주)세진티에스,67770,2018,-24.37,0,-10.83,-0.71,-0.68,3.1,0,4198297,-584731,-313566,2004-01-09
(주)세코닉스,53450,2018,18.92,43.76,4.33,5.1,2.19,155.32,27.51,5624456,8534423,7206745,2001-08-09
(주)세코닉스,53450,2020,-37.6,0,-10.66,-11.96,-4.65,165.9,41.68,5901641,-13994559,-16813000,2001-08-09
(주)세코닉스,53450,2021,44.47,0,1.35,2.33,0.77,269.96,40.5,7225906,2560566,2300748,2001-08-09
(주)세코닉스,53450,2019,6.8,49.04,4.99,7.19,2.85,150.42,30.8,5901641,10507036,10741064,2001-08-09
(주)세화피앤씨,252500,2020,30.07,199.23,18.17,10.45,8.83,15.89,0.07,2074320,3357656,2892328,2016-11-02
(주)세화피앤씨,252500,2021,-2.05,-32.67,13.06,6.23,5.49,11.61,0,2074320,2363692,1947545,2016-11-02
(주)세화피앤씨,252500,2019,-2.66,-4.66,6.69,3.68,3,21.1,4.84,2074320,950831,966581,2016-11-02
(주)세화피앤씨,252500,2018,0,0,6.08,3.91,3.14,24.3,0,2074320,887386,1013785,2016-11-02
(주)센코,347000,2021,0,0,10.81,2.27,1.36,67.25,30.42,4125622,1149777,887519,2020-10-29
(주)센코,347000,2020,,,,,,,,3198642,-1447340,-1340255,2020-10-29
(주)센트랄모텍,308170,2019,,,,,,,,3150000,3462270,2378860,2019-11-25
(주)센트랄모텍,308170,2021,31.33,0,1.77,2.6,1.09,153.67,40.81,4305000,2427223,2414029,2019-11-25
(주)센트랄모텍,308170,2020,0,0,0.14,-1.45,-0.65,123.54,32.75,4305000,147559,-1305554,2019-11-25
(주)셀레믹스,331920,2021,,,,,,,,4082074,-3524151,-3228039,2020-08-21
(주)셀루메드,49180,2020,18.58,0,-14.24,-9.7,-4.26,180.64,36.5,14850529,-997944,-1850539,2002-05-23
(주)셀루메드,49180,2021,-21.58,0,-18.07,1.45,0.75,68.5,16.03,19803487,-993093,386159,2002-05-23
(주)셀루메드,49180,2019,4.25,0,-48.55,-9.64,-5.57,101.62,29.67,10300937,-2869611,-3265716,2002-05-23
(주)셀루메드,49180,2018,-39.8,0,-79.62,6.26,3.87,55.9,21.31,10154951,-4513829,2749909,2002-05-23
(주)셀리드,299660,2021,0,0,-570.44,-10.69,-9.18,30.23,18.28,4854346,-5185775,-5322882,2019-02-20
(주)셀리드,299660,2020,0,0,0,-2.59,-2.52,2.65,0.21,4824346,-1890903,-1323020,2019-02-20
(주)셀리드,299660,2019,0,0,0,-4.41,-4.28,3.16,0.11,4781846,-1633715,-1153708,2019-02-20
(주)셀리버리,268600,2019,0,0,-513.05,-35.32,-31.67,11.51,0.79,3910054,-6677078,-12010493,2018-11-09
(주)셀리버리,268600,2021,-72.26,0,-9675.21,-42.94,-28.99,67.94,37.19,8571614,-11397608,-12223377,2018-11-09
(주)셀리버리,268600,2020,-67.37,0,-2042.77,-30.22,-26.64,16.44,1.23,4078554,-8675769,-8442510,2018-11-09
(주)셀리버리,268600,2018,,,,,,,,2415222,-859400,-2038983,2018-11-09
(주)셀바스에이아이,108860,2019,-18.71,0,-35.4,-6.85,-4.2,70.35,22.95,11027973,-2286275,-2983196,2009-12-10
(주)셀바스에이아이,108860,2021,52.27,-38.21,17.1,3.06,2.08,44.18,18.17,11027973,1439725,1418532,2009-12-10
(주)셀바스에이아이,108860,2020,-14.38,0,-59.89,5.43,3.39,50.87,19.94,11027973,-3310983,2295583,2009-12-10
(주)셀바스에이아이,108860,2018,4.83,0,-19.04,8.51,5.52,57.31,21.69,11027973,-1512584,4012792,2009-12-10
(주)셀바스헬스케어,208370,2018,-15.7,0,-21.71,-6.32,-3.39,85.99,38.87,7027198,-2442491,-1970471,2014-12-17
(주)셀바스헬스케어,208370,2020,-2.5,0,-1.4,-0.47,-0.21,87.87,39.62,10840282,-125231,-90812,2014-12-17
(주)셀바스헬스케어,208370,2021,17.7,0,-10.2,-4.47,-2.43,80.45,35.8,10840282,-1070024,-1101093,2014-12-17
(주)셀바스헬스케어,208370,2019,-18.72,0,-38.19,-15.9,-7.23,204.49,58.17,7468504,-3491687,-3761676,2014-12-17
(주)셀트리온,68270,2020,93.13,85.35,42.1,8.68,6.71,30.75,8.64,134939385,315724955,257134081,2018-02-09
(주)셀트리온,68270,2021,-2.55,19.84,46.15,8.9,6.75,32.68,11.18,137916534,337244186,308157005,2018-02-09
(주)셀트리온,68270,2019,-14.01,-13.27,39.78,5.1,4.02,27.74,10.27,128329070,154463772,138731996,2018-02-09
(주)셀트리온,68270,2018,15.18,-12.23,50.02,6.41,5.04,25.57,13.22,125395903,225892203,159957712,2018-02-09
(주)셀트리온제약,68760,2019,38.63,0,7.93,1.09,0.68,68.87,35.11,17037931,6374891,3238480,2006-02-03
(주)셀트리온제약,68760,2021,103.01,235.64,14.25,6.82,3.86,77.54,33.4,18273102,26268141,20550395,2006-02-03
(주)셀트리온제약,68760,2018,9,0,-2.66,-1.45,-0.96,54.9,29.47,17022246,-1541743,-4805742,2006-02-03
(주)셀트리온제약,68760,2020,12.94,89.06,11.21,2.19,1.27,75.53,34.43,17903397,10172695,6122700,2006-02-03
(주)셀트리온헬스케어,91990,2020,110.62,442.87,20.54,10.58,6.29,68.87,0.03,151406332,216661280,192788584,2017-07-28
(주)셀트리온헬스케어,91990,2019,21.99,-52.38,8.08,2.02,1.24,67.05,0.02,143818048,40487335,35512622,2017-07-28
(주)셀트리온헬스케어,91990,2018,0,0,6.49,4.13,2.58,60.1,0.38,140516224,26670940,74581458,2017-07-28
(주)셀트리온헬스케어,91990,2021,-35.1,-55,13.72,4.25,2.55,64.92,0.02,154990922,93917867,86747839,2017-07-28
(주)소룩스,290690,2020,,,,,,,,647916,1271984,1094439,2020-11-06
(주)소룩스,290690,2021,0,0,0.84,0.79,0.53,49.07,19.38,825684,212860,349052,2020-11-06
(주)소마젠,950200,2021,,,,,,,,2142881,-3071352,-2484677,2020-07-13
(주)소프트센,32680,2020,-61.09,0,-7.16,-5.78,-3.59,29.97,0.02,16866471,-1296757,-1920799,1997-07-18
(주)소프트센,32680,2021,14.08,0,21.22,12.62,9.78,28.5,4.34,17966471,4384363,4484451,1997-07-18
(주)소프트센,32680,2019,-27.32,0,0.43,1.75,0.85,87.7,13.96,16504609,200844,595394,1997-07-18
(주)소프트센,32680,2018,-1.63,0,-1.54,-3.9,-1.81,122.1,21.13,15665447,-984115,-1321864,1997-07-18
(주)손오공,66910,2020,11.2,0,-2.22,-6.43,-3.5,78.62,14.84,13448081,-836502,-1133741,2005-01-07
(주)손오공,66910,2021,-5.41,0,2.4,1.15,0.63,88.52,18.7,13448081,856403,215188,2005-01-07
(주)손오공,66910,2019,-37.52,0,0.59,0.73,0.38,89.19,13.22,10948081,200101,113846,2005-01-07
(주)손오공,66910,2018,23.53,0,-0.69,-0.98,-0.5,100.04,2.03,10948081,-374012,-179686,2005-01-07
(주)솔고바이오메디칼,43100,2019,-10.51,0,-16.06,-11.48,-8,44.53,23.19,80862892,-1413023,-5028556,2000-08-08
(주)솔고바이오메디칼,43100,2018,-0.08,0,-15.42,-4.52,-3.27,42.39,24.67,59862893,-1515626,-2113843,2000-08-08
(주)솔고바이오메디칼,43100,2020,-6.84,0,4.36,6.3,4.21,56.69,28.83,28879604,357428,2458028,2000-08-08
(주)솔고바이오메디칼,43100,2021,6.55,-81.83,2.63,1.31,0.81,66.7,33.54,30379604,229240,446530,2000-08-08
(주)솔루에타,154040,2020,-27.71,0,7.75,2.84,1.79,58.38,28.88,6490073,1559378,1868758,2013-12-27
(주)솔루에타,154040,2021,-14.22,0,-3.93,-2.32,-1.12,163.43,47.34,6912608,-678393,-1433638,2013-12-27
(주)솔루에타,154040,2018,-12.22,0,-5.25,-0.15,-0.09,40.67,18.41,6043293,-951102,-107576,2013-12-27
(주)솔루에타,154040,2019,53.71,0,7.46,-0.82,-0.55,59.07,22.42,6240402,2076607,-587273,2013-12-27
(주)솔루엠,248070,2021,0,0,-2.04,-3.09,-1.94,59.67,16.65,24902776,-5624452,-6276393,2021-02-02
(주)솔루엠,248070,2020,,,,,,,,19966110,16711232,13090030,2021-02-02
(주)솔본,35610,2020,-2.87,-99.45,47.51,0.04,0.04,1.77,0,13672999,705382,62906,1999-08-13
(주)솔본,35610,2021,10.79,30495.19,35.04,12.32,12.1,1.9,0,13672999,576313,19246159,1999-08-13
(주)솔본,35610,2018,-3.09,0,26.67,0.07,0.07,3.17,0,13672999,441034,90124,1999-08-13
(주)솔본,35610,2019,-7.58,12615.67,19.44,8.18,7.96,2.28,0,13672999,297125,11459868,1999-08-13
(주)솔트룩스,304100,2021,,,,,,,,2540458,-3334599,-3080724,2020-07-23
(주)쇼박스,86980,2019,42.35,-54.67,1.68,1.2,1.03,17.42,1.28,31300000,664457,1675281,2006-07-07
(주)쇼박스,86980,2021,-88.56,0,-52.66,-1.04,-0.94,14.2,1.02,31300000,-2201703,-1417731,2006-07-07
(주)쇼박스,86980,2018,22.3,0,6.56,2.83,2.29,16.51,0,31300000,1819533,3695468,2006-07-07
(주)쇼박스,86980,2020,-7.4,-10.94,2.85,1.07,0.95,7.91,1.22,31300000,1043333,1492056,2006-07-07
(주)수산아이앤티,50960,2019,-11.05,-40.64,10.27,1.34,1.31,2.52,0.1,3375500,690144,966615,2016-10-11
(주)수산아이앤티,50960,2021,11.5,-65.12,22.96,0.91,0.87,5.24,0.1,3375500,2125888,720186,2016-10-11
(주)수산아이앤티,50960,2018,-9.08,-31.32,17.05,2.33,2.28,2.03,0,3375500,1287267,1628360,2016-10-11
(주)수산아이앤티,50960,2020,23.63,113.62,25.84,2.76,2.68,3.3,0.15,3375500,2145770,2064913,2016-10-11
(주)수산중공업,17550,2020,-24.33,-4.12,8.47,3.13,1.85,63.84,32.07,26993092,2536666,3097058,1991-08-30
(주)수산중공업,17550,2021,2.17,0,2.59,-0.09,-0.05,74.46,32.28,26993092,791556,-87297,1991-08-30
(주)수산중공업,17550,2019,-15.31,221.35,9.62,3.28,2.22,75.02,34.76,26993092,3808522,3230030,1991-08-30
(주)수산중공업,17550,2018,-6.67,-60.42,1.49,1.03,0.86,20.28,1.13,26993092,694797,1005144,1991-08-30
(주)수성이노베이션,84180,2020,-4.87,0,5.7,-1.57,-0.6,172.03,50.66,7317491,675706,-293817,2005-12-16
(주)수성이노베이션,84180,2021,23.17,0,4.92,-52.39,-18.5,190.22,37.05,27421859,718842,-12440532,2005-12-16
(주)수성이노베이션,84180,2019,8.21,0,4.59,-19.76,-5.27,149,22.9,6097145,572369,-2664491,2005-12-16
(주)수성이노베이션,84180,2018,-1.1,0,-19.02,-47.88,-15.03,583.25,49.79,4712380,-2189820,-9018721,2005-12-16
(주)슈프리마,236200,2018,17.95,90.21,21.94,7.47,7,5.13,0,3540137,5341141,7358192,2016-02-05
(주)슈프리마,236200,2021,26.66,-1.38,19.41,5.95,5.68,5.25,0.01,3596637,6104490,8978167,2016-02-05
(주)슈프리마,236200,2020,-15.17,-12.49,21.27,6.86,6.54,4.07,0.06,3596637,5281847,9103902,2016-02-05
(주)슈프리마,236200,2019,20.24,41.38,28.29,9.27,8.79,5.88,0.19,3540137,8278694,10402714,2016-02-05
(주)슈프리마아이디,317770,2021,0,0,24.88,4.28,4.03,6.05,1.03,1527010,1655597,1787993,2019-08-01
(주)슈프리마아이디,317770,2020,,,,,,,,1516010,-780789,-320460,2019-08-01
(주)슈프리마에이치큐,94840,2019,6.01,36.28,21.12,1.68,1.61,4.8,0.02,5235920,1546300,2016536,2008-07-11
(주)슈프리마에이치큐,94840,2021,11.07,-15.85,25.38,1.78,1.7,4.84,0.02,5235920,2138590,2259886,2008-07-11
(주)슈프리마에이치큐,94840,2020,3.58,33.18,25.37,2.19,2.08,4.88,0,5235920,1924462,2685689,2008-07-11
(주)슈프리마에이치큐,94840,2018,-29.6,-55.75,14.29,1.25,1.19,4.73,0,5235920,986821,1479702,2008-07-11
(주)슈피겐코리아,192440,2020,12.46,34.27,19.6,7.66,6.79,13.11,2.38,3108182,20723322,19228194,2014-11-05
(주)슈피겐코리아,192440,2021,1.93,-33.3,6.8,4.68,4.19,10.23,1.64,3108182,7327972,12825811,2014-11-05
(주)슈피겐코리아,192440,2019,13.64,-6.65,16.61,6.52,5.85,12.49,2.8,3108182,15618391,14320973,2014-11-05
(주)슈피겐코리아,192440,2018,25.5,40.52,21.18,7.76,7.2,10.11,0,3108182,17519979,15341135,2014-11-05
(주)스맥,99440,2019,41.18,0,2.13,0.46,0.22,124.57,38.91,13830366,1793835,456159,2009-05-26
(주)스맥,99440,2021,18.52,0,-16.31,-18.37,-7.44,187.99,46.57,15367305,-9320287,-15009890,2009-05-26
(주)스맥,99440,2018,-19.86,0,-5.89,-2.62,-1.26,98.42,34.05,13610242,-3516269,-2499338,2009-05-26
(주)스맥,99440,2020,-42.79,0,-12.36,-5.45,-2.46,119.03,41.41,14756059,-5959123,-5401585,2009-05-26
(주)스타플렉스,115570,2020,-20.57,0,-5.9,-6.18,-3.32,87.75,39.02,3845304,-1674923,-4487548,2010-01-27
(주)스타플렉스,115570,2021,11.73,0,-6.31,-6.01,-3.11,99.85,37.33,3992254,-2001871,-3518032,2010-01-27
(주)스타플렉스,115570,2018,-10.81,0,-5.8,-1.28,-0.69,91.37,39.93,3226867,-2175762,-1013664,2010-01-27
(주)스타플렉스,115570,2019,-4.75,0,0.94,1.52,0.81,84.6,36.2,3226867,336027,1180101,2010-01-27
(주)스튜디오산타클로스엔터테인먼트,204630,2019,20.2,0,-24.13,-8.36,-6.56,35.54,8.24,2861348,-2459036,-3595847,2014-12-29
(주)스튜디오산타클로스엔터테인먼트,204630,2020,-36.51,0,-22.27,-17.19,-12.25,46.35,10.32,2893424,-1440914,-6305784,2014-12-29
(주)스튜디오산타클로스엔터테인먼트,204630,2021,44.52,0,-14.8,-26.73,-10.38,302.05,21.67,2945386,-1383538,-7551716,2014-12-29
(주)스튜디오산타클로스엔터테인먼트,204630,2018,-58.97,0,-5.85,-2.01,-1.63,19.66,0,2861348,-495819,-917017,2014-12-29
(주)스페코,13810,2018,-33.12,0,-7.07,-0.46,-0.23,109.13,20.61,7327735,-1070848,-254262,1997-11-03
(주)스페코,13810,2021,-19.69,-29.77,10.55,4.56,2.67,62.7,18.28,7327735,1538252,2305736,1997-11-03
(주)스페코,13810,2020,20,69.33,19.96,6.84,3.9,79.34,18.72,7327735,3622113,3282960,1997-11-03
(주)스페코,13810,2019,-0.1,0,9.63,3.76,1.96,71.67,20.5,7327735,1456944,1938811,1997-11-03
(주)승일,49830,2020,-7.41,65.28,1.61,1.6,1.27,27.3,7.86,3066056,1150091,2278098,2001-01-18
(주)승일,49830,2021,6.33,37.02,4.36,2.18,1.7,28.27,5.66,3066056,3306036,3121466,2001-01-18
(주)승일,49830,2019,-13.87,-79.44,1.41,0.97,0.75,24.72,6.56,3066056,1088152,1378299,2001-01-18
(주)승일,49830,2018,21.82,135.31,4.83,4.86,3.69,34.22,5.29,3066056,4316661,6702670,2001-01-18
(주)시공테크,20710,2019,14.48,0,1.99,2.07,1.58,35.49,0.1,10023985,814586,1720638,1999-08-13
(주)시공테크,20710,2020,12.91,56.52,2.88,3.13,2.23,44.36,0,10023985,1328812,2693116,1999-08-13
(주)시공테크,20710,2021,-6.17,-5.97,0.85,2.77,2.01,31.38,0,10023985,368625,2532344,1999-08-13
(주)시공테크,20710,2018,-59.44,0,-6.12,-1.37,-0.94,25.8,0.01,10023985,-2185958,-1129424,1999-08-13
(주)시너지이노베이션,48870,2018,183.17,0,6.64,-6.98,-2.23,157.41,36.34,28406976,391683,-1499427,2004-08-13
(주)시너지이노베이션,48870,2021,70.96,0,18.38,6.18,4.08,44.02,10.14,37890808,1770053,4602004,2004-08-13
(주)시너지이노베이션,48870,2020,-1.53,0,11.99,-4.31,-2.77,61.39,29.26,32621801,675453,-3006355,2004-08-13
(주)시너지이노베이션,48870,2019,-3,0,3.06,35.05,19.11,50.83,24.75,31235848,175092,19095002,2004-08-13
(주)시노펙스,25320,2019,-23.99,-36.02,0.23,6.31,3.86,51.79,18.59,35506506,111133,5407180,1995-04-20
(주)시노펙스,25320,2021,5.17,0,-2.05,-2.48,-1.56,78.96,21.3,37054536,-819346,-2172904,1995-04-20
(주)시노펙스,25320,2020,-19.6,0,-0.16,-4.26,-2.92,40.82,13.96,36713621,-62712,-3901196,1995-04-20
(주)시노펙스,25320,2018,-8.66,30.95,7.61,10.35,6.24,75.91,24.6,33191694,4739664,8451290,1995-04-20
(주)시디즈,134790,2020,6.93,121.26,9.32,25.28,12.93,80.2,0,1000000,10160186,8694056,2011-01-25
(주)시디즈,134790,2021,21.31,7.38,8.65,19.09,10.86,72.55,0,1000000,11433872,9335747,2011-01-25
(주)시디즈,134790,2018,555.71,743.77,3.48,8.47,3.99,211.11,0,1000000,1786587,1915317,2011-01-25
(주)시디즈,134790,2019,98.43,105.15,4.2,15.1,5.82,116.87,3.23,1000000,4280164,3929295,2011-01-25
(주)시스웍,269620,2019,-49.51,-66.63,3.51,2.86,2.44,25.41,16.19,1800000,221340,1038163,2017-12-26
(주)시스웍,269620,2020,45.82,-36.78,5.53,1.74,1.35,32.93,16.92,1800000,508470,656327,2017-12-26
(주)시스웍,269620,2021,-20.63,0,-47.9,-10.43,-5.49,130.28,42.56,7435669,-3498016,-4733428,2017-12-26
(주)시스웍,269620,2018,0,0,27,9.02,8.34,8.12,1.34,1800000,3374416,3110829,2017-12-26
(주)시큐브,131090,2018,-30.38,0,-10.72,-1.21,-0.96,25.8,0,3600000,-622942,-284774,2011-12-21
(주)시큐브,131090,2021,-27.02,-11.13,14.56,2.5,2.29,9.44,0.27,4200000,617903,825736,2011-12-21
(주)시큐브,131090,2020,-5.77,118.22,15.21,3.14,2.82,9.27,0.44,4000000,884342,929111,2011-12-21
(주)시큐브,131090,2019,6.18,0,5.58,1.65,1.38,14.4,0.62,3800000,344294,425766,2011-12-21
(주)시티랩스,139050,2019,-29.43,0,-10.51,-0.88,-0.46,88.4,43.35,22443631,-765536,-410735,2011-07-29
(주)시티랩스,139050,2018,-28.41,0,0.78,-4.98,-3.15,91.09,40.96,14496358,80470,-1856176,2011-07-29
(주)시티랩스,139050,2020,11.33,0,-17.97,-6.29,-3.13,118.26,48.96,26426673,-1457200,-2838830,2011-07-29
(주)시티랩스,139050,2021,4.14,0,-12.12,-2.85,-1.52,64.72,34.2,44380496,-1023794,-1272884,2011-07-29
(주)신도기연,290520,2021,0,0,-3.02,2.42,1.89,28.17,16.37,4030640,-528600,1570808,2020-07-06
(주)신도기연,290520,2020,,,,,,,,4030640,-68330,2366429,2020-07-06
(주)신도리코,29530,2019,-18.8,-35.33,1.92,1.28,1.19,6.93,0.04,50400145,3941414,10997813,1996-12-24
(주)신도리코,29530,2021,-3,0,3.1,1.64,1.52,8.44,0.02,50400145,5055129,13909810,1996-12-24
(주)신도리코,29530,2020,-18.2,0,-11.56,-1,-0.94,6.96,0.04,50400145,-19439293,-8559846,1996-12-24
(주)신도리코,29530,2018,0.14,-11.48,3.97,2.01,1.87,7.16,0,50400145,10053451,17005131,1996-12-24
(주)신성이엔지,11930,2020,18,0,2.93,2.33,0.71,213.42,42.94,91525134,5292799,2690069,1996-07-31
(주)신성이엔지,11930,2021,-31.73,0,-8.34,-7.69,-3.03,113.16,34.49,101892091,-10282863,-11894818,1996-07-31
(주)신성이엔지,11930,2018,-54,0,0.43,36.73,8.79,178.29,40.45,86606857,804821,47481741,1996-07-31
(주)신성이엔지,11930,2019,-18.59,0,1.41,-3.06,-1,246.82,49.69,86974611,2150085,-4049118,1996-07-31
(주)신세계,4170,2019,-11.54,646.22,11.59,19.85,10.25,92.73,28.09,49225905,86062578,686339218,1985-08-19
(주)신세계,4170,2021,16.69,-16.38,13.59,4.73,2.28,102.68,29.4,49225905,108599472,171476078,1985-08-19
(주)신세계,4170,2020,-7.75,-70.12,5.39,5.63,2.79,112.61,33.81,49225905,36898220,205063400,1985-08-19
(주)신세계,4170,2018,3.05,13.58,12.05,2.98,1.55,94.93,26.86,49225905,101170401,91975904,1985-08-19
(주)신세계아이앤씨,35510,2020,9.9,1658.87,5.8,27.39,19.28,38.28,0.19,8600000,13328898,52491248,2006-05-18
(주)신세계아이앤씨,35510,2021,8.77,-66.55,7.44,8.36,6.22,31.5,2.17,8600000,18590723,17560946,2006-05-18
(주)신세계아이앤씨,35510,2019,22.11,-37.61,4.29,1.65,1.14,45.81,0.8,8600000,8975895,2984380,2006-05-18
(주)신세계아이앤씨,35510,2018,10.47,-2.48,3.88,2.88,2.08,43.8,0,8600000,6650235,4783611,2006-05-18
(주)신세계인터내셔날,31430,2020,-7.78,-2.13,2.59,7.23,3.6,102.11,39.92,35700000,14379417,38430321,2011-07-14
(주)신세계인터내셔날,31430,2021,12.84,1.84,7.26,6.71,3.61,71.3,27.64,35700000,45436812,39136668,2011-07-14
(주)신세계인터내셔날,31430,2019,15.62,41.55,7.66,8.01,4.18,99.2,38.83,35700000,46062620,39268372,2011-07-14
(주)신세계인터내셔날,31430,2018,16.29,201.44,6.17,6.1,3.24,83.61,33.75,35700000,32092073,27742603,2011-07-14
(주)신세계푸드,31440,2020,-4.93,0,-0.11,-1.17,-0.47,174.36,47.69,19362400,-642391,-3669778,2010-04-29
