ticker,company_name,listingdate,fiscal_year,market_cap,sales_growth_rate,net_profit_growth_rate,operating_profit_rate,roe,roa,debt_ratio,20_06_close_price,20_06_rate_of_return,20_09_close_price,20_09_rate_of_return,20_12_close_price,20_12_rate_of_return,21_03_close_price,21_03_rate_of_return,21_06_close_price,PER,PER_cal,PBR,PCR,PSR,DYR
196490,(주)디에이테크놀로지,2014-11-19,2021,1.39655E+11,-26.86,0,-44.45,-8.36,-5.87,25.67,3581.515331,0.647347409,5996.035053,-0.016016426,6890.699509,-14.37734308,6034.576484,-2.230089962,5900,0,-16.74641148,1.4,0,4.08,0
92870,(주)엑시콘,2015-10-22,2021,1.39332E+11,159.96,0,7.9,15.48,12.8,14.01,7987.026652,0.665200403,11685.16991,0.138194832,16339.4325,-18.60182416,13962.78777,-4.746815502,13300,13.13,9.237726098,1.43,7.73,2.05,0.38
88130,(주)동아엘텍,2007-01-03,2021,1.39151E+11,148.77,-15.07,5.33,4.01,3.4,17.51,6790,0.921944035,9260,0.409287257,8150,60.12269939,9170,42.31188659,13050,22.74,26.93266833,1.08,0,1.56,1.15
38460,(주)바이오스마트,2000-06-22,2021,1.39008E+11,-2.2,188.77,11.76,4.74,4.12,16.55,5310.575873,0.303060189,9700,-0.286597938,8100,-14.56790123,5420,27.67527675,6920,0,30.5907173,1.45,242.75,2.31,0
163560,동일고무벨트(주),2012-10-19,2021,1.39E+11,17.71,-61.1,2.69,1.7,1.18,48.94,7649.892086,0.307207982,9113.093525,0.097322218,9682.661871,3.277385225,9024.71223,10.80685727,10000,17.92,40,0.68,6.16,0.57,1
84180,(주)수성이노베이션,2005-12-16,2021,1.38989E+11,23.17,0,4.92,-52.39,-18.5,190.22,435.7932131,5.906945564,456.944367,5.58723516,787.6621395,282.1435422,957.9266822,214.2202901,3010,0,-4.981866768,2.61,26.21,2.61,0
47560,(주)이스트소프트,2008-07-01,2021,1.38989E+11,29.88,0,6.34,-2.87,-1.48,75.92,5896.837649,1.111301131,7076.205178,0.75941761,7945.212832,56.69813085,9266.459162,34.35552655,12450,32.5,-87.10801394,2.5,45.64,5.35,0
34940,조아제약(주),1999-08-13,2021,1.38945E+11,-20.09,0,-13.25,-5.46,-3.85,44.5,4665,-0.038585209,4960,-0.095766129,4980,-9.939759036,4225,6.153846154,4485,0,-41.94139194,2.29,71.3,2.17,0
36170,(주)클라우드에어,1999-12-21,2021,1.3868E+11,29.27,0,10.19,-0.66,-0.56,5.37,1056.673957,1.342255133,1014.647225,1.439271442,1497.812571,65.24096863,1170.31635,111.4812803,2475,0,-201.5151515,1.33,0,8.31,0
131400,(주)이브이첨단소재,2010-12-27,2021,1.3863E+11,97.98,0,4.74,-0.58,-0.3,129.48,5384.709344,0.108694939,4307.896852,0.385827053,4997.948979,19.44899848,4593.77559,29.95845972,5970,0,-444.8275862,2.58,0,3.12,0
