회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일,보통주자본금(IFRS),우선주자본금(IFRS)
(주)MH에탄올,023150,2018/06,0.1,-5.85,20.16,5.6,3.95,64.33,32.75,65950927,4817269,3666995,1996/12/24,4596763,0
(주)MH에탄올,023150,2019/06,1.36,-10.93,18.39,4.83,2.97,60.53,30.79,69389583,4454411,3266038,1996/12/24,4596763,0
(주)MH에탄올,023150,2020/06,16.93,-13.22,15.11,4.38,2.67,68.18,34.04,60033988,4277422,2834330,1996/12/24,4596763,0
(주)MH에탄올,023150,2021/06,-15.14,0.9,15.37,4.84,2.85,71.61,33.45,58191342,3693199,2859901,1996/12/24,4596763,0
(주)SH에너지화학,002360,2018/06,-7.75,-46.92,4.14,3.36,2.88,16.65,2.85,105243121,3882791,3510492,1985/12/23,55566865,173110
(주)SH에너지화학,002360,2019/06,-23.12,0,-1.47,-0.5,-0.42,19.96,2.98,100921829,-1057603,-516861,1985/12/23,55566865,173110
(주)SH에너지화학,002360,2020/06,-40.23,0,-13.94,-5.6,-4.54,27.1,7.81,91832025,-6013242,-5394072,1985/12/23,55566865,173110
(주)SH에너지화학,002360,2021/06,37.05,0,-0.29,-0.09,-0.07,31.12,9.43,89694660,-171245,-83484,1985/12/23,55566865,173110
(주)SIMPAC,009160,2018/06,-32.56,-23.06,3.7,2.02,1.23,68.02,16.15,221074297,2881641,4491961,1989/07/29,14542463,0
(주)SIMPAC,009160,2019/06,166.09,177.43,3.81,3.89,2.5,49.29,15.28,420254352,7893554,12462252,1989/07/29,32714758,0
(주)SIMPAC,009160,2020/06,-39.16,-23.71,4.5,2.27,1.54,45.31,14.15,417418926,5681246,9507903,1989/07/29,32714758,0
(주)SIMPAC,009160,2021/06,49.03,77.14,7.55,3.92,2.48,69.38,23.57,442613139,14197118,16842352,1989/07/29,32714758,0
(주)SNT에너지,100840,2018/06,-32.83,66.29,3.11,2.69,2.04,27.17,0,238299727,2225274,6355058,2008/02/22,3648575,0
(주)SNT에너지,100840,2019/06,27.46,59.45,8.7,4.23,3.28,30.71,0.03,241309560,7940657,10133283,2008/02/22,3753356,0
(주)SNT에너지,100840,2020/06,28.06,47.19,11.88,6.05,4.5,37.86,0.02,251787223,13875526,14915542,2008/02/22,3753356,0
(주)SNT에너지,100840,2021/06,-15.04,-15.06,11.21,5.11,3.82,29.1,0.28,244325436,11123040,12669602,2008/02/22,3753356,0
(주)SNT홀딩스,036530,2018/06,-2.21,0.61,85.95,1.34,1.33,0.03,0,427659954,5423087,5705515,2002/10/22,8351943,0
(주)SNT홀딩스,036530,2019/06,58.64,58.77,90.34,2.14,2.13,0.04,0,420752136,9042649,9058914,2002/10/22,8351943,0
(주)SNT홀딩스,036530,2020/06,61.1,64.41,92.58,3.54,3.54,0.07,0.01,419962659,14927949,14893364,2002/10/22,8351943,0
(주)SNT홀딩스,036530,2021/06,-35.78,-39.03,87.47,2.16,2.15,0.17,0.13,421911542,9058237,9080047,2002/10/22,8351943,0
(주)STX,011810,2018/06,-11.03,-98.02,0.91,12.35,1.37,738.02,63.68,50937000,6125000,6836000,1990/09/12,44656075,3177925
(주)STX,011810,2019/06,-5.28,0,-0.37,-27.22,-3.75,545.55,53.8,71000000,-2377000,-16598000,1990/09/12,49317000,0
(주)STX,011810,2020/06,-16.83,0,0.9,5,0.68,774.16,66.03,49596000,4781000,3015000,1990/09/12,49317000,0
(주)STX,011810,2021/06,-49.82,0,-1.21,-19.51,-1.78,1505.04,62.05,21603000,-3210000,-6945000,1990/09/12,50171000,0
(주)TCC스틸,002710,2018/06,1.27,232.74,3.83,3.85,1.35,179.32,45.83,92596811,6661675,3558901,1984/12/21,22342500,0
(주)TCC스틸,002710,2019/06,2.93,-38.3,4.66,2.31,0.82,181.9,46.17,97716851,8350407,2195959,1984/12/21,22342500,0
